dataset,k_daily_blocks,top1_agreement_rate,mean_top1_regret,median_top1_regret,p75_top1_regret,p95_top1_regret,mean_fusion_regret,median_fusion_regret,frac_fusion_beats_all_experts,router_sel_freq_lstm,router_sel_freq_tcn,router_sel_freq_cnn,oracle_best_freq_lstm,oracle_best_freq_tcn,oracle_best_freq_cnn
PJM,53,0.6981132075471698,33.49839036759951,0.0,6.900376842688047,239.4503201494469,-491.60697444356873,-482.9161512430361,1.0,1.0,0.0,0.0,0.6981132075471698,0.0,0.3018867924528302
GEFCom,456,0.5175438596491229,3.407343331253831,0.0,4.286604366048607,16.508923852969904,-12.46127272185933,-10.329444301516254,0.9539473684210527,0.9671052631578947,0.0,0.03289473684210526,0.5197368421052632,0.008771929824561403,0.47149122807017546
UCI,163,0.018404907975460124,42.89996746592747,44.81495650795158,56.47257615471818,66.53616067257965,-24.111589252711394,-24.223001328340445,0.9938650306748467,0.006134969325153374,0.024539877300613498,0.9693251533742331,0.0,0.9938650306748467,0.006134969325153374
