candidate_id,dataset,best_standalone_bm,best_standalone_mae,candidate_mae,top1_selected_mae,selection_regret,selection_regret_pct,fusion_gain,fusion_gain_pct
Control_A_F2,PJM,TCN,259.3264,249.90138452548155,772.643545156994,513.317145156994,197.94249453854061,-9.425015474518432,-3.634421900168449
Control_A_F2,GEFCom,TCN,12.5729,12.57638154573111,28.41150925915315,15.838609259153149,125.97419258208646,0.003481545731109037,0.027690872679405995
Control_A_F2,UCI,LSTM,7.7945,8.206474681809336,74.80667863886744,67.01217863886744,859.736719980338,0.41197468180933594,5.285453612282199
Control_B_FixedShrinkage,PJM,TCN,259.3264,250.8772101624336,753.3878394178331,494.0614394178331,190.51721668824814,-8.449189837566365,-3.258129460620425
Control_B_FixedShrinkage,GEFCom,TCN,12.5729,12.61157764523905,28.56306550427982,15.990165504279819,127.17961253394061,0.038677645239049596,0.30762708077730355
Control_B_FixedShrinkage,UCI,LSTM,7.7945,7.76995064538302,66.8209984978956,59.0264984978956,757.2839630238707,-0.0245493546169806,-0.3149574009491385
Control_C_HorizonRouting,PJM,TCN,259.3264,250.91543271037784,718.1808952376593,458.85449523765936,176.9409112368272,-8.410967289622135,-3.243390294864748
Control_C_HorizonRouting,GEFCom,TCN,12.5729,13.15251315398037,25.36890049354877,12.796000493548771,101.77445532493515,0.5796131539803699,4.610019597550048
Control_C_HorizonRouting,UCI,LSTM,7.7945,8.334273596394363,62.74700927797811,54.95250927797811,705.0164767204838,0.5397735963943626,6.92505736601915
Control_D_DynamicConfidence,PJM,TCN,259.3264,243.03108162128194,750.7462224858299,491.4198224858299,189.49857110029288,-16.295318378718036,-6.283709787633669
Control_D_DynamicConfidence,GEFCom,TCN,12.5729,12.657679407622075,29.355358567714084,16.782458567714084,133.48120614746065,0.08477940762207403,0.6743027274699873
Control_D_DynamicConfidence,UCI,LSTM,7.7945,8.290675310345886,75.70277525309501,67.90827525309501,871.2332446352558,0.4961753103458859,6.365710569579651
Candidate_E1_HGR_FS,PJM,TCN,259.3264,256.5717321473513,738.3911221072957,479.0647221072957,184.734266201704,-2.7546678526486517,-1.0622396534439424
Candidate_E1_HGR_FS,GEFCom,TCN,12.5729,12.468085964162693,25.55188304331923,12.978983043319229,103.22982798971778,-0.10481403583730753,-0.8336504373478475
Candidate_E1_HGR_FS,UCI,LSTM,7.7945,8.378810126397406,61.397468301401524,53.602968301401525,687.7024607274556,0.5843101263974058,7.4964414189159765
Candidate_E2_HGR_DGS,PJM,TCN,259.3264,248.58532501712273,746.728671081629,487.40227108162907,187.94934533531068,-10.741074982877251,-4.141913427586721
Candidate_E2_HGR_DGS,GEFCom,TCN,12.5729,13.020584457821403,26.84484819300345,14.27194819300345,113.51357437825362,0.44768445782140276,3.560709604159762
Candidate_E2_HGR_DGS,UCI,LSTM,7.7945,8.144411446556209,64.4261573579194,56.631657357919394,726.5592065933594,0.34991144655620854,4.489209654964507
