dataset,horizon_step,horizon_group,mae_lstm,mae_tcn,mae_cnn,mae_equal,mae_f2,best_expert,ranking,best_vs_runner_up_gap,f2_minus_equal
PJM,1,Short (1-8),1026.0611394190998,1409.0117830794948,748.1961936652052,136.09909292195766,136.98728294921187,CNN,CNN > LSTM > TCN,277.86494575389463,0.8881900272542111
PJM,2,Short (1-8),961.2843031562696,1452.073352452855,784.3843781905008,154.72624185851672,156.52220319768534,CNN,CNN > LSTM > TCN,176.89992496576883,1.7959613391686275
PJM,3,Short (1-8),1012.0489262868672,1674.9184941201286,784.4131861844435,178.42032154848584,177.70970159264306,CNN,CNN > LSTM > TCN,227.6357401024237,-0.7106199558427875
PJM,4,Short (1-8),1038.032327217784,1777.2337419994844,805.3376789892492,204.28975276603816,203.32265831239567,CNN,CNN > LSTM > TCN,232.6946482285349,-0.9670944536424884
PJM,5,Short (1-8),1021.2068490242834,1787.2018250111419,803.6506291880017,219.94447880092181,218.7836266723162,CNN,CNN > LSTM > TCN,217.55621983628168,-1.160852128605626
PJM,6,Short (1-8),1040.2918436449456,1826.5757705890876,826.1569887938023,233.24703608400694,232.38905617073382,CNN,CNN > LSTM > TCN,214.13485485114336,-0.8579799132731125
PJM,7,Short (1-8),1052.7584917288636,1811.7753411430479,888.6990075479591,248.55722639046252,248.99024863500193,CNN,CNN > LSTM > TCN,164.05948418090452,0.4330222445394156
PJM,8,Short (1-8),998.8505354834942,1641.442310528592,796.3729765906912,264.88895803870696,263.6761644549318,CNN,CNN > LSTM > TCN,202.47755889280302,-1.2127935837751807
PJM,9,Medium (9-16),989.9235511714218,1522.378774924795,805.5878085694198,270.164351746427,272.0475115504207,CNN,CNN > LSTM > TCN,184.33574260200191,1.883159803993749
PJM,10,Medium (9-16),943.3605118768953,1334.0218453319872,779.0942196508753,278.93476782433333,280.3353725602049,CNN,CNN > LSTM > TCN,164.26629222602003,1.4006047358715819
PJM,11,Medium (9-16),902.3318927243706,1269.9632707473584,810.9232191594625,271.74130766798095,273.23989756672137,CNN,CNN > LSTM > TCN,91.4086735649081,1.4985898987404198
