candidate_id,dataset,horizon_step,horizon_group,mae
Control_B_FixedShrinkage,PJM,18,Long (17-24),271.72777912976403
Control_B_FixedShrinkage,PJM,19,Long (17-24),272.74903172118616
Control_B_FixedShrinkage,PJM,20,Long (17-24),269.26514207311413
Control_B_FixedShrinkage,PJM,21,Long (17-24),269.50080552794645
Control_B_FixedShrinkage,PJM,22,Long (17-24),263.9610679832164
Control_B_FixedShrinkage,PJM,23,Long (17-24),271.8497243613498
Control_B_FixedShrinkage,PJM,24,Long (17-24),271.987033060492
Control_B_FixedShrinkage,GEFCom,1,Short (1-8),4.644147864349221
Control_B_FixedShrinkage,GEFCom,2,Short (1-8),6.193494749029354
Control_B_FixedShrinkage,GEFCom,3,Short (1-8),7.567167554559784
Control_B_FixedShrinkage,GEFCom,4,Short (1-8),8.69276973096966
Control_B_FixedShrinkage,GEFCom,5,Short (1-8),9.707216737885444
Control_B_FixedShrinkage,GEFCom,6,Short (1-8),10.547893000977878
Control_B_FixedShrinkage,GEFCom,7,Short (1-8),11.26632062582737
Control_B_FixedShrinkage,GEFCom,8,Short (1-8),11.980207223828465
Control_B_FixedShrinkage,GEFCom,9,Medium (9-16),12.595919627928476
Control_B_FixedShrinkage,GEFCom,10,Medium (9-16),12.996239349227048
Control_B_FixedShrinkage,GEFCom,11,Medium (9-16),13.467563672300207
Control_B_FixedShrinkage,GEFCom,12,Medium (9-16),13.856878812500359
Control_B_FixedShrinkage,GEFCom,13,Medium (9-16),14.14156387350731
Control_B_FixedShrinkage,GEFCom,14,Medium (9-16),14.399909488640843
Control_B_FixedShrinkage,GEFCom,15,Medium (9-16),14.475497017033954
Control_B_FixedShrinkage,GEFCom,16,Medium (9-16),14.548640623632677
Control_B_FixedShrinkage,GEFCom,17,Long (17-24),14.80639856662751
Control_B_FixedShrinkage,GEFCom,18,Long (17-24),14.943979818471641
Control_B_FixedShrinkage,GEFCom,19,Long (17-24),15.024053114085955
