candidate_id,dataset,candidate_mae,mae_oracle_convex,oracle_gap,oracle_gap_pct_of_bm,oracle_deployability
Control_A_F2,PJM,249.90138452548155,205.34524868524804,44.55613584023351,17.181488595157884,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_A_F2,GEFCom,12.57638154573111,10.863830700765364,1.7125508449657456,13.620969266961048,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_A_F2,UCI,8.206474681809336,6.335962129562059,1.870512552247277,23.99785171912601,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_B_FixedShrinkage,PJM,250.8772101624336,208.01088590256012,42.866324259873494,16.529872878300665,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_B_FixedShrinkage,GEFCom,12.61157764523905,10.82938165241175,1.782195992827301,14.174899926248527,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_B_FixedShrinkage,UCI,7.76995064538302,6.481593125297762,1.288357520085258,16.529059209510013,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_C_HorizonRouting,PJM,250.91543271037784,206.0982923523631,44.81714035801474,17.282135701577143,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_C_HorizonRouting,GEFCom,13.15251315398037,11.264345930655077,1.8881672233252935,15.017754243852202,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_C_HorizonRouting,UCI,8.334273596394363,6.67293133848819,1.6613422579061732,21.31428902310826,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_D_DynamicConfidence,PJM,243.03108162128194,200.53716993224998,42.49391168903196,16.386265219827973,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_D_DynamicConfidence,GEFCom,12.657679407622075,10.886608909875644,1.7710704977464307,14.086412027029807,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Control_D_DynamicConfidence,UCI,8.290675310345886,6.364741720508523,1.9259335898373635,24.70887920761259,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Candidate_E1_HGR_FS,PJM,256.5717321473513,206.49474785228531,50.07698429506601,19.31040738431028,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Candidate_E1_HGR_FS,GEFCom,12.468085964162693,10.765874797383196,1.702211166779497,13.538731452405548,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Candidate_E1_HGR_FS,UCI,8.378810126397406,6.617258104984877,1.7615520214125286,22.599936126916784,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Candidate_E2_HGR_DGS,PJM,248.58532501712273,203.99956622685332,44.58575879026941,17.19291163193158,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Candidate_E2_HGR_DGS,GEFCom,13.020584457821403,11.332535882177133,1.6880485756442702,13.426087661909902,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
Candidate_E2_HGR_DGS,UCI,8.144411446556209,7.465818738173285,0.678592708382924,8.706045395893565,RETROSPECTIVE_ORACLE_NON_DEPLOYABLE
