lookback_hours,candidate_id,pjm_val_mae,gefcom_val_mae,uci_val_mae
24,F2_P24,402.1097742314918,13.062989698406035,6.347939159369227
48,F2_P48,406.28663856424544,13.060339825825125,6.562205727145833
72,F2_P72,399.0648097174593,13.049252102973888,6.488759192632502
168,Control_A_F2,399.4997636835504,13.037197422043109,6.477769920030504
