candidate_id,dataset,overall_mae,load_low_mae,load_med_mae,load_high_mae,vol_low_mae,vol_med_mae,vol_high_mae
Control_A_F2,PJM,249.90138452548155,237.63070215632513,213.49832758753746,298.659585681626,231.0344374796965,230.86180042812762,287.85209103775594
Control_A_F2,GEFCom,12.57638154573111,10.344669448996209,12.683892084578858,14.70031764549765,10.724273251907203,13.59708394583412,13.40526718661225
Control_A_F2,UCI,8.206474681809336,6.2024731995043,8.783710857143229,9.631472037248065,6.026950303562888,8.897919440559443,9.69243655319312
Control_B_FixedShrinkage,PJM,250.87721016243364,238.76849541880057,214.93269024635413,299.01384278018816,231.33692883285462,226.90991962971714,294.44039058745005
Control_B_FixedShrinkage,GEFCom,12.611577645239048,10.37342498284869,12.74792249593503,14.713048802981094,10.772535603828823,13.567625135060043,13.492211585742309
Control_B_FixedShrinkage,UCI,7.76995064538302,6.198310922242894,8.507309833497088,8.601972806172894,6.056043667602205,8.597780351276029,8.653492451096575
Control_C_HorizonRouting,PJM,250.91543271037781,238.80396467245345,203.2600676013086,310.7928351499679,221.08070117838,217.73823712534565,314.0043370793452
Control_C_HorizonRouting,GEFCom,13.152513153980372,11.402049614756319,13.30393263733509,14.751183334582159,11.605682152523212,14.031327366892027,13.818360030889055
Control_C_HorizonRouting,UCI,8.334273596394363,6.572365056732118,8.84261687341714,9.586281911784146,6.433019412661393,8.954498365238866,9.613403394839207
Control_D_DynamicConfidence,PJM,243.0310816212819,236.58386946245943,207.28936790789282,285.30293490350135,232.5220863129691,218.99075239614663,277.63618418077436
Control_D_DynamicConfidence,GEFCom,12.657679407622071,10.42112026391467,12.78070546096445,14.770908729954153,10.815891126580278,13.608218563594907,13.546581522429372
Control_D_DynamicConfidence,UCI,8.290675310345884,5.895740688846527,8.874618505532418,10.099878242952167,5.744321234565621,8.986783587300547,10.138789077695362
Candidate_E1_HGR_FS,PJM,256.5717321473513,243.2617789307439,210.15043680500693,316.4106867279792,222.91106050501557,222.78357858092153,324.0989521439741
Candidate_E1_HGR_FS,GEFCom,12.468085964162695,9.315131279285062,13.291622832371957,14.79547035646511,10.098701573673956,13.751130419625662,13.551257888187319
Candidate_E1_HGR_FS,UCI,8.378810126397408,6.385839582587276,9.031764094796669,9.71682684279327,6.268886726289634,9.130119466494499,9.735123085825862
Candidate_E2_HGR_DGS,PJM,248.5853250171227,240.30684184136743,202.72692638665345,302.82860682016974,222.22132738589377,216.60399825975622,307.0048520200045
Candidate_E2_HGR_DGS,GEFCom,13.020584457821405,11.11964032134818,13.238266857460982,14.703308707248533,11.392731314384331,13.90889683137371,13.757931863820852
Candidate_E2_HGR_DGS,UCI,8.144411446556209,6.180077952927657,8.869054809504311,9.381882148866222,6.062537750669072,8.932059176615155,9.436225015048848
