candidate_id,status,pjm_val_diff,gefcom_val_diff,uci_val_diff,pjm_pct_diff,gefcom_pct_diff,uci_pct_diff,datasets_improved,worst_degradation_pct,qualified,rationale
Control_A_F2,CONTROL_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,Mandatory Control Anchor
Control_B_FixedShrinkage,REJECTED_AT_SCREENING,0.9604011653419207,0.013816119206937927,0.14269570964613276,0.24040093453038144,0.10597461064429253,2.2028523922236003,0,2.2028523922236003,False,REJECTED: Failed qualification firewall
Control_C_HorizonRouting,REJECTED_AT_SCREENING,40.08338193992529,0.25755980660760436,0.28560298270321205,10.033393154063521,1.9755764852661193,4.408970775884969,0,10.033393154063521,False,REJECTED: Failed qualification firewall
Control_D_DynamicConfidence,REJECTED_AT_SCREENING,3.7601320236662445,0.00409235516150197,-0.057937375970844585,0.9412100745683294,0.03138983808423944,-0.8944031153636862,1,0.9412100745683294,False,REJECTED: Failed qualification firewall
Candidate_E1_HGR_FS,REJECTED_AT_SCREENING,53.00423627689702,0.07901049039964825,0.33841039777062143,13.26765147197495,0.6060389195768289,5.224180573690827,0,13.26765147197495,False,REJECTED: Failed qualification firewall
Candidate_E2_HGR_DGS,REJECTED_AT_SCREENING,44.2059767359429,0.23708126942474728,0.523458558370324,11.065332386769345,1.8184987290588515,8.080845180247758,0,11.065332386769345,False,REJECTED: Failed qualification firewall
Candidate_E3_HGR_CF,REJECTED_AT_SCREENING,46.49686188817793,0.0575050821810148,0.5127158504185942,11.638770811641525,0.44108469266397715,7.915005576736814,0,11.638770811641525,False,REJECTED: Failed qualification firewall
F2_P24,REJECTED_AT_SCREENING,2.6100105479414424,0.02579227636292636,-0.1298307606612763,0.6533196725515137,0.19783604963530846,-2.004250880535518,1,0.6533196725515137,False,REJECTED: Failed qualification firewall
F2_P48,REJECTED_AT_SCREENING,6.786874880695052,0.02314240378201582,0.08443580711532928,1.6988432779327087,0.1775105725014716,1.3034703016270708,0,1.6988432779327087,False,REJECTED: Failed qualification firewall
F2_P72,REJECTED_AT_SCREENING,-0.4349539660910864,0.012054680930779327,0.010989272601998223,-0.10887464915639343,0.09246374462656708,0.16964592348390287,1,0.16964592348390287,False,REJECTED: Failed qualification firewall
