dataset,expert,mean_weight,population_std_weight,min_weight,max_weight,p1_weight,p5_weight,p25_weight,median_weight,p75_weight,p95_weight,p99_weight,cv_weight,max_min_spread,mean_entropy,effective_n_experts,l1_distance_from_equal,lag1_autocorr,frac_top_expert,top_expert_change_frequency,frac_material_dev_gt_05,frac_material_dev_gt_10,dynamicity_classification
PJM,LSTM,0.3679275214672088,0.0035615740343928,0.3534156382083893,0.3758615553379059,0.35349136173725126,0.3609879910945892,0.3660403490066528,0.3689445853233337,0.370400607585907,0.3719441890716553,0.3758223816752434,0.009680096830431159,0.0224459171295166,1.0955381393432615,2.9907915592193604,0.03459418813387549,0.9564209692146224,0.9953632148377124,0.0030935808197989,0.0,0.0,Limited continuous variation / absence of frequent top-1 expert switching
PJM,TCN,0.3260849416255951,0.0066591803915798,0.316105842590332,0.3577717244625091,0.3161459290981292,0.3201144933700561,0.3224244713783264,0.324247658252716,0.3266724944114685,0.3414742946624756,0.35760875016450877,0.02042161271956351,0.041665881872177124,1.0955381393432615,2.9907915592193604,0.007248391707738222,0.9632681210684668,0.0046367851622874,0.0030935808197989,0.0,0.0,Limited continuous variation / absence of frequent top-1 expert switching
PJM,CNN,0.305987536907196,0.0035483329556882,0.288197249174118,0.3094503879547119,0.2882893666625022,0.2974089980125427,0.3060389459133148,0.3069471716880798,0.3077049255371094,0.3086416125297546,0.3094423002004623,0.011596331639980454,0.021253138780593928,1.0955381393432615,2.9907915592193604,0.027345796426137325,0.9580709764504554,0.0,0.0030935808197989,0.0,0.0,Limited continuous variation / absence of frequent top-1 expert switching
GEFCom,LSTM,0.409953236579895,0.0372553095221519,0.3233232796192169,0.4818059206008911,0.3235672014951706,0.3477154672145843,0.3782578706741333,0.4133345186710357,0.4420214295387268,0.4627579748630523,0.48161544114351273,0.09087697375649431,0.1584826409816742,1.0820860862731934,2.951026201248169,0.0766199032465617,0.974354012970064,0.9545869883040936,0.0152608973773188,0.7171052631578947,0.344937865497076,Limited continuous variation / absence of frequent top-1 expert switching
GEFCom,TCN,0.2816656231880188,0.0165524464100599,0.2538800537586212,0.3197773396968841,0.2539392676949501,0.25980144739151,0.2669591903686523,0.2786680459976196,0.2951994240283966,0.310633510351181,0.31968590140342706,0.058766299638035584,0.06589728593826288,1.0820860862731934,2.951026201248169,0.051667710145314516,0.9865437761266392,0.0,0.0152608973773188,0.7171052631578947,0.344937865497076,Limited continuous variation / absence of frequent top-1 expert switching
GEFCom,CNN,0.3083811104297638,0.0241425186395645,0.2487060576677322,0.3652026057243347,0.2489027594029903,0.2683762311935425,0.2896952033042907,0.3084891438484192,0.3276266455650329,0.3466348648071289,0.36501692831516264,0.07828792952279372,0.1164965480566025,1.0820860862731934,2.951026201248169,0.02495222290356952,0.9606936717335404,0.0454130116959064,0.0152608973773188,0.7171052631578947,0.344937865497076,Limited continuous variation / absence of frequent top-1 expert switching
UCI,LSTM,0.3323909938335418,0.0353745259344577,0.2264953255653381,0.3780215084552765,0.22710095167160033,0.2870579361915588,0.2948600053787231,0.3357229828834533,0.3705638647079468,0.3755713403224945,0.37799700677394865,0.10642444166843612,0.15152618288993838,1.0844136476516724,2.957752227783203,0.0009423394997915002,0.9966546216240092,0.0155532891381947,0.02014792144861,0.960224375318715,0.0114737378888322,Limited continuous variation / absence of frequent top-1 expert switching
UCI,TCN,0.2782112658023834,0.0382907018065452,0.2324248999357223,0.5007531642913818,0.23246807843446726,0.2367427498102188,0.2454887777566909,0.2719002366065979,0.3020715415477752,0.3304798305034637,0.49905043095350266,0.13763174433635583,0.26832826435565954,1.0844136476516724,2.957752227783203,0.05512206753094989,0.9877038976079152,0.0336562978072412,0.02014792144861,0.960224375318715,0.0114737378888322,Limited continuous variation / absence of frequent top-1 expert switching
UCI,CNN,0.3893977701663971,0.0194711722433567,0.2727515399456024,0.4073800444602966,0.27364506751298906,0.3621042966842651,0.3848238587379455,0.3919042944908142,0.4017860293388366,0.4059325754642486,0.4073655697703361,0.05000329671889568,0.13462850451469416,1.0844136476516724,2.957752227783203,0.05606443683306378,0.9779186104236816,0.950790413054564,0.02014792144861,0.960224375318715,0.0114737378888322,Limited continuous variation / absence of frequent top-1 expert switching
