dataset,residual_corr_lstm_tcn,residual_corr_lstm_cnn,residual_corr_tcn_cnn,mean_pairwise_residual_corr,mae_lstm,mae_tcn,mae_cnn,min_standalone_mae,mae_equal_ensemble,mae_f2,equal_ensemble_gain_over_best_standalone,f2_gain_over_equal_ensemble
PJM,-0.7187127110575353,0.49564349503688016,-0.6886451591012128,-0.3039047917072893,770.8569058169018,1268.7153483764112,853.3344549382406,770.8569058169018,250.73895677589852,249.90138452548155,520.1179490410033,0.8375722504169687
GEFCom,-0.45656536275130094,0.26388676683059376,-0.41779974502325423,-0.2034927803146538,28.454933224382984,43.628541972966296,29.398781441107616,28.454933224382984,12.719405918157488,12.57638154573111,15.735527306225496,0.14302437242637822
UCI,-0.6625698748743638,-0.9165969554675664,0.4964983390238127,-0.3608894971060392,96.25962761692958,32.475515450663124,75.46718251322784,32.475515450663124,8.564990927221922,8.206474681809336,23.910524523441204,0.3585162454125861
