dataset,k_daily_blocks,mae_equal_ensemble,mae_best_standalone,mae_f2_model,mae_oracle_best_expert,mae_oracle_convex_fusion,equal_to_f2_improvement,f2_to_oracle_expert_gap,f2_to_oracle_convex_gap,oracle_expert_total_opportunity,oracle_convex_total_opportunity,pct_oracle_expert_opportunity_captured
PJM,53,251.66366325090775,775.946988602904,250.84162379173586,742.4485982353044,205.34524868524804,0.82203945917189,-491.60697444356856,45.49637510648782,-490.78493498439667,46.31841456565971,-0.16749484358113528
GEFCom,456,12.719405918157486,28.454933224382984,12.57638154573111,25.037654267590444,10.863830700765364,0.14302437242637644,-12.461272721859334,1.7125508449657456,-12.318248349432958,1.855575217392122,-1.1610771951433487
UCI,163,8.561506418556565,32.4686320272439,8.205666922615597,32.31725617532699,6.335962129562059,0.35583949594096786,-24.11158925271139,1.869704793053538,-23.755749756770424,2.225544288994506,-1.4979089255626126
