candidate_id,dataset,mean_train_time_sec,std_train_time_sec,mean_inf_time_sec,std_inf_time_sec,inf_ms_per_window
Control_A_F2,PJM,30.288692283630372,4.875100200267333,0.15532917976379396,0.005429697012245738,0.12003800599984077
Control_A_F2,GEFCom,167.42299776077272,41.45332999015727,1.3081096172332765,0.08062932563981672,0.1195275600542102
Control_A_F2,UCI,166.37775321006774,25.761044279821817,0.489166259765625,0.03543544517921443,0.12472367663580444
Control_B_FixedShrinkage,PJM,29.527036237716676,4.818971891529973,0.16336746215820314,0.018065697535740107,0.12624997075595296
Control_B_FixedShrinkage,GEFCom,184.5452142238617,52.255714877569496,1.3732301712036132,0.17161158639652527,0.12547790307050558
Control_B_FixedShrinkage,UCI,144.12998542785644,32.657425842073124,0.4773143768310547,0.02408760822053551,0.12170177889624036
Control_C_HorizonRouting,PJM,17.82034749984741,1.9564429330658415,0.09522709846496583,0.00848884021909444,0.07359126620167375
Control_C_HorizonRouting,GEFCom,138.27714834213256,38.61757827188716,1.467090892791748,0.5886598625206962,0.13405435789398282
Control_C_HorizonRouting,UCI,88.82959060668945,25.17860994823984,0.2771590709686279,0.0025611421045444796,0.0706677896401397
Control_D_DynamicConfidence,PJM,32.494211721420285,5.426376721949362,0.17787728309631348,0.009726148529218293,0.13746312449483267
Control_D_DynamicConfidence,GEFCom,188.23938550949097,48.662312041416975,1.5210113525390625,0.15426757751558004,0.13898130048785293
Control_D_DynamicConfidence,UCI,194.5759120464325,8.03082259751617,0.5381745815277099,0.027323643673055172,0.13721942415290922
Candidate_E1_HGR_FS,PJM,18.554338788986207,2.465758264939809,0.09741005897521973,0.0034638665516452958,0.07527825268564121
Candidate_E1_HGR_FS,GEFCom,124.2009244441986,28.293401658781782,0.8168514251708985,0.039415220762768266,0.07463920186137596
Candidate_E1_HGR_FS,UCI,73.45390591621398,19.684815788961398,0.29228777885437013,0.015046969811994318,0.07452518583742226
Candidate_E2_HGR_DGS,PJM,19.795602798461914,2.8043844155419864,0.10597014427185059,0.0020170035880022873,0.08189346543419675
Candidate_E2_HGR_DGS,GEFCom,113.442227268219,29.524262050510842,0.8764118194580078,0.024507534307524854,0.08008148935106066
Candidate_E2_HGR_DGS,UCI,80.30019040107727,24.37810507255926,0.3321710109710693,0.02612958467572009,0.08469429142556587
