dataset,k_daily_blocks,evaluation_unit,optimization_method,objective,constraints,target_leakage_status,mae_best_standalone_test_bm,mae_equal_ensemble,mae_f2_test,mae_oracle_best_expert,mae_oracle_convex_fusion,oracle_expert_advantage_over_standalone,oracle_convex_advantage_over_equal,f2_gap_to_oracle_convex,pct_oracle_convex_gap_closed,deployability_status,notes
PJM,53,24-hour non-overlapping daily block,Grid search over 2-simplex with step=0.05,Minimize daily block MAE retrospectively given ground truth,"w_i >= 0, sum(w_i) = 1.0",RETROSPECTIVE_ORACLE_NON_DEPLOYABLE (uses future test targets),259.3264,279.8282,250.9747,242.15,205.35,17.176399999999973,74.47819999999999,45.62470000000002,38.74086645488206,NON_DEPLOYABLE_UPPER_BOUND,Oracle convex fusion is a theoretical upper-reference under hindsight; cannot be achieved by causal models.
GEFCom,456,24-hour non-overlapping daily block,Grid search over 2-simplex with step=0.05,Minimize daily block MAE retrospectively given ground truth,"w_i >= 0, sum(w_i) = 1.0",RETROSPECTIVE_ORACLE_NON_DEPLOYABLE (uses future test targets),12.5729,12.6248,12.4077,11.95,10.86,0.6229000000000013,1.764800000000001,1.5477000000000007,12.301677243880334,NON_DEPLOYABLE_UPPER_BOUND,Oracle convex fusion is a theoretical upper-reference under hindsight; cannot be achieved by causal models.
UCI,163,24-hour non-overlapping daily block,Grid search over 2-simplex with step=0.05,Minimize daily block MAE retrospectively given ground truth,"w_i >= 0, sum(w_i) = 1.0",RETROSPECTIVE_ORACLE_NON_DEPLOYABLE (uses future test targets),7.7945,8.1675,7.7371,7.35,6.34,0.44450000000000056,1.8275000000000006,1.3971,23.551299589603307,NON_DEPLOYABLE_UPPER_BOUND,Oracle convex fusion is a theoretical upper-reference under hindsight; cannot be achieved by causal models.
