candidate_id,dataset,mean_weight_lstm,mean_weight_tcn,mean_weight_cnn,pop_sd_lstm,pop_sd_tcn,pop_sd_cnn,mean_pop_sd,lag1_autocorr,top1_switching_freq,mean_entropy,effective_n_experts,dynamicity_score
Control_A_F2,PJM,0.36792752146720886,0.3260849416255951,0.30598753690719604,0.0035615740343928337,0.006659180391579866,0.003548332955688238,0.004589695793886979,0.9592533555778481,0.0030935808197989174,1.0955381393432617,2.9907915592193604,0.46038943887636596
Control_A_F2,GEFCom,0.409953236579895,0.2816656231880188,0.3083811104297638,0.03725530952215195,0.01655244641005993,0.024142518639564514,0.025983424857258797,0.9738638202767479,0.015260897377318833,1.0820860862731934,2.951026201248169,2.6379955237516697
Control_A_F2,UCI,0.33239099383354187,0.2782112658023834,0.3893977701663971,0.03537452593445778,0.03829070180654526,0.019471172243356705,0.031045466661453247,0.9874257098852021,0.020147921448610048,1.0844136476516724,2.957752227783203,3.167096828508365
Control_B_FixedShrinkage,PJM,0.38505712151527405,0.29977262020111084,0.3151702582836151,0.0044164471328258514,0.006295996718108654,0.002669363282620907,0.004460602377851804,0.9479459090089302,0.0,1.0924367904663086,2.981532096862793,0.4460602377851804
Control_B_FixedShrinkage,GEFCom,0.3999350965023041,0.28819411993026733,0.3118707835674286,0.038944393396377563,0.015572727657854557,0.02583187073469162,0.02678299726297458,0.9725910331559963,0.030430412135611807,1.0850462913513184,2.9597327709198,2.7598014907913857
Control_B_FixedShrinkage,UCI,0.3449094891548157,0.29189664125442505,0.36319392919540405,0.055930912494659424,0.04165104031562805,0.02589748054742813,0.04115981111923853,0.9892494328182343,0.03264473348635552,1.0860710144042969,2.9626853466033936,4.250346218357481
Control_C_HorizonRouting,PJM,0.3829953074455261,0.301750510931015,0.31525418162345886,0.008595244027674198,0.007709023077040911,0.005414004437625408,0.007239423847446839,0.895733591097362,0.0,1.0927975177764893,2.982612133026123,0.723942384744684
Control_C_HorizonRouting,GEFCom,0.40624961256980896,0.2598896622657776,0.3338607847690582,0.03201654553413391,0.011359757743775845,0.023373736068606377,0.02225001311550538,0.9767924582411842,0.039111760943068626,1.080069899559021,2.944997787475586,2.312025030945917
Control_C_HorizonRouting,UCI,0.4208717346191406,0.2349761426448822,0.3441521227359772,0.04310109093785286,0.037457745522260666,0.007829366251826286,0.02946273423731327,0.9855725289233576,0.002550369803621525,1.0663663148880005,2.905496597290039,2.9537875105044242
Control_D_DynamicConfidence,PJM,0.3738706409931183,0.32913073897361755,0.29699862003326416,0.006181883625686169,0.008939413353800774,0.0031947435345500708,0.006105346838012338,0.9142117514150953,0.004640371229698376,1.0939695835113525,2.986104726791382,0.6133677913826779
Control_D_DynamicConfidence,GEFCom,0.4027266800403595,0.3025333881378174,0.2947399318218231,0.03811505436897278,0.015180259011685848,0.025834200903773308,0.02637650476147731,0.9749671873451575,0.015991958329525723,1.0847139358520508,2.9587745666503906,2.679831672650139
Control_D_DynamicConfidence,UCI,0.3802122473716736,0.2958594560623169,0.3239282965660095,0.04177228733897209,0.03915167227387428,0.031105756759643555,0.03734323879082998,0.9890839597168558,0.01224177505738332,1.0869078636169434,2.965291976928711,3.780038632002147
Candidate_E1_HGR_FS,PJM,0.4169459640979767,0.28028061985969543,0.30277344584465027,0.02216542325913906,0.01648773066699505,0.006837950553745031,0.015163701493293047,0.8919787991857943,0.0,1.0818430185317993,2.9502217769622803,1.5163701493293047
Candidate_E1_HGR_FS,GEFCom,0.4053477644920349,0.18901684880256653,0.40563535690307617,0.09171078354120255,0.02018570341169834,0.07504744082689285,0.06231464259326458,0.963945591204661,0.04834140546468062,1.0281339883804321,2.796143054962158,6.532701999725225
Candidate_E1_HGR_FS,UCI,0.5200756192207336,0.13620992004871368,0.3437144458293915,0.08496016263961792,0.06804948300123215,0.020682930946350098,0.05789752552906672,0.9912608670139246,0.0022953328232593728,0.9542815685272217,2.6078221797943115,5.803041961979908
Candidate_E2_HGR_DGS,PJM,0.3887034058570862,0.2966240346431732,0.314672589302063,0.014952322468161583,0.012665728107094765,0.006681586150079966,0.01143321224177877,0.9025624196796226,0.0,1.0909876823425293,2.9772372245788574,1.143321224177877
Candidate_E2_HGR_DGS,GEFCom,0.41162484884262085,0.24290385842323303,0.3454712927341461,0.03859388828277588,0.011480867862701416,0.03158002346754074,0.027218259871006012,0.977177561712138,0.0498035273690944,1.072758674621582,2.923583745956421,2.8573825221430784
Candidate_E2_HGR_DGS,UCI,0.43682706356048584,0.19714903831481934,0.3660238981246948,0.05070345848798752,0.04920931160449982,0.008313263766467571,0.03607534461965164,0.9811676884437341,0.002550369803621525,1.0406417846679688,2.832916259765625,3.616735008922484
