dataset,mean_lambda,std_lambda,cv_lambda,min_lambda,max_lambda,p1_lambda,p5_lambda,p25_lambda,median_lambda,p75_lambda,p95_lambda,p99_lambda,prop_near_0_lt_01,prop_near_05_45_to_55,prop_near_1_gt_09,lag1_autocorr,lag24_autocorr,behavior_classification,mean_daily_delta_ad_minus_eq,frac_daily_blocks_adaptive_wins
PJM,0.5092198848724365,0.005575965158641338,0.010950014569889019,0.49511027336120605,0.5278258323669434,0.49731093645095825,0.5003247857093811,0.5053800344467163,0.5090530514717102,0.5131798386573792,0.5185878276824951,0.5226606130599976,0.0,1.0,0.0,0.8505037293187706,0.38017197275718945,C — Approximately Constant,-0.46501014796237483,0.5094339622641509
GEFCom,0.5128667950630188,0.007860523648560047,0.015326637879878448,0.48665642738342285,0.5394970178604126,0.4957832992076874,0.500203013420105,0.5070388317108154,0.5129185914993286,0.5185766220092773,0.525472104549408,0.52973473072052,0.0,1.0,0.0,0.9229283753219016,0.6256873722575531,C — Approximately Constant,0.17624163108600038,0.5285087719298246
UCI,0.5141665935516357,0.004379564896225929,0.00851779355396334,0.4782654643058777,0.5212207436561584,0.4905269742012024,0.507970929145813,0.5129464864730835,0.5148834586143494,0.5165241956710815,0.5186264514923096,0.519616425037384,0.0,1.0,0.0,0.9164303381935721,0.6052402363199233,D — Effectively Learned Fixed Shrinkage,0.2188566542647079,0.3803680981595092
