dataset,expert,mean_weight,std_weight,min_weight,max_weight,p5_weight,p25_weight,median_weight,p75_weight,p95_weight,frac_top_expert,frac_weight_gt_05,frac_weight_lt_third,mean_entropy,effective_n_experts,frac_material_dev_gt_05,frac_material_dev_gt_10,top_expert_change_frequency,avg_dominant_state_duration_hours,lag1_autocorr
PJM,LSTM,0.36792752146720886,0.0035615740343928337,0.3534156382083893,0.3758615553379059,0.36098799109458923,0.36604034900665283,0.36894458532333374,0.370400607585907,0.3719441890716553,0.9953632148377125,0.0,0.0,1.0955381393432617,2.9907915592193604,0.0,0.0,0.0030935808197989174,258.8,0.9564209692146225
PJM,TCN,0.3260849416255951,0.006659180391579866,0.31610584259033203,0.35777172446250916,0.32011449337005615,0.3224244713783264,0.32424765825271606,0.3266724944114685,0.3414742946624756,0.00463678516228748,0.0,0.8956723338485317,1.0955381393432617,2.9907915592193604,0.0,0.0,0.0030935808197989174,258.8,0.9632681210684667
PJM,CNN,0.30598753690719604,0.003548332955688238,0.28819724917411804,0.3094503879547119,0.2974089980125427,0.3060389459133148,0.30694717168807983,0.3077049255371094,0.30864161252975464,0.0,0.0,1.0,1.0955381393432617,2.9907915592193604,0.0,0.0,0.0030935808197989174,258.8,0.9580709764504554
GEFCom,LSTM,0.409953236579895,0.03725530952215195,0.3233232796192169,0.4818059206008911,0.34771546721458435,0.3782578706741333,0.41333451867103577,0.4420214295387268,0.46275797486305237,0.9545869883040936,0.0,0.007675438596491228,1.0820860862731934,2.951026201248169,0.7171052631578947,0.344937865497076,0.015260897377318833,65.14285714285714,0.9743540129700639
GEFCom,TCN,0.2816656231880188,0.01655244641005993,0.2538800537586212,0.31977733969688416,0.25980144739151,0.26695919036865234,0.27866804599761963,0.2951994240283966,0.31063351035118103,0.0,0.0,1.0,1.0820860862731934,2.951026201248169,0.7171052631578947,0.344937865497076,0.015260897377318833,65.14285714285714,0.9865437761266393
GEFCom,CNN,0.3083811104297638,0.024142518639564514,0.24870605766773224,0.3652026057243347,0.2683762311935425,0.28969520330429077,0.3084891438484192,0.32762664556503296,0.3466348648071289,0.04541301169590643,0.0,0.8206323099415205,1.0820860862731934,2.951026201248169,0.7171052631578947,0.344937865497076,0.015260897377318833,65.14285714285714,0.9606936717335404
UCI,LSTM,0.33239099383354187,0.03537452593445778,0.22649532556533813,0.3780215084552765,0.28705793619155884,0.29486000537872314,0.33572298288345337,0.3705638647079468,0.3755713403224945,0.015553289138194799,0.0,0.47832738398776137,1.0844136476516724,2.957752227783203,0.960224375318715,0.011473737888832228,0.020147921448610048,49.025,0.9966546216240093
UCI,TCN,0.2782112658023834,0.03829070180654526,0.23242489993572235,0.5007531642913818,0.2367427498102188,0.24548877775669098,0.2719002366065979,0.30207154154777527,0.33047983050346375,0.033656297807241206,0.00025497195308516065,0.9510453850076491,1.0844136476516724,2.957752227783203,0.960224375318715,0.011473737888832228,0.020147921448610048,49.025,0.9877038976079152
UCI,CNN,0.3893977701663971,0.019471172243356705,0.2727515399456024,0.40738004446029663,0.36210429668426514,0.38482385873794556,0.3919042944908142,0.40178602933883667,0.40593257546424866,0.950790413054564,0.0,0.026772055073941866,1.0844136476516724,2.957752227783203,0.960224375318715,0.011473737888832228,0.020147921448610048,49.025,0.9779186104236816
