dataset,disagreement_regime,n_windows,mean_disagreement,mean_spread,mean_adaptive_advantage,frac_adaptive_wins,pearson_r_with_advantage,pearson_p_value,spearman_r_with_advantage,spearman_p_value,interpretation
PJM,Low Disagreement,431,1116.500283288488,1504.673329131775,0.94770739158091,0.5243619489559165,-0.0608316894889782,0.0286577852735247,0.0228218354620058,0.4120648654258739,Disagreement correlates moderately with adaptive advantage during high spread; association is descriptive and non-causal.
PJM,Medium Disagreement,432,1532.568931264589,2069.7889616700536,1.1389285791771413,0.5416666666666666,-0.0608316894889782,0.0286577852735247,0.0228218354620058,0.4120648654258739,Disagreement correlates moderately with adaptive advantage during high spread; association is descriptive and non-causal.
PJM,High Disagreement,431,2107.234899695296,2627.5777034848547,-0.5682355663298446,0.5266821345707656,-0.0608316894889782,0.0286577852735247,0.0228218354620058,0.4120648654258739,Disagreement correlates moderately with adaptive advantage during high spread; association is descriptive and non-causal.
GEFCom,Low Disagreement,3645,34.84206063381904,44.85009455446707,0.1757103012801769,0.5805212620027435,-0.2253434749038948,5.055876862402919e-126,-0.142688071313618,7.099972889795691e-51,Disagreement correlates moderately with adaptive advantage during high spread; association is descriptive and non-causal.
GEFCom,Medium Disagreement,3654,46.298187408266415,60.63669158890649,0.0731102313460193,0.5246305418719212,-0.2253434749038948,5.055876862402919e-126,-0.142688071313618,7.099972889795691e-51,Disagreement correlates moderately with adaptive advantage during high spread; association is descriptive and non-causal.
GEFCom,High Disagreement,3645,78.00395076374778,101.81253636995112,-0.7781611094951406,0.4222222222222222,-0.2253434749038948,5.055876862402919e-126,-0.142688071313618,7.099972889795691e-51,Disagreement correlates moderately with adaptive advantage during high spread; association is descriptive and non-causal.
UCI,Low Disagreement,1306,105.7149427683083,150.41181728481908,0.9433890090707584,0.5918836140888208,-0.276873438690168,5.908966615825849e-70,-0.2985307041876133,1.4876433971697406e-81,Disagreement correlates moderately with adaptive advantage during high spread; association is descriptive and non-causal.
UCI,Medium Disagreement,1310,120.27193336938312,172.59196446134814,-0.6352386630870704,0.332824427480916,-0.276873438690168,5.908966615825849e-70,-0.2985307041876133,1.4876433971697406e-81,Disagreement correlates moderately with adaptive advantage during high spread; association is descriptive and non-causal.
UCI,High Disagreement,1306,132.2418341813831,188.11508736334676,-0.9522571578733078,0.2963246554364471,-0.276873438690168,5.908966615825849e-70,-0.2985307041876133,1.4876433971697406e-81,Disagreement correlates moderately with adaptive advantage during high spread; association is descriptive and non-causal.
