candidate_id,dataset,seed,mean_w_lstm,mean_w_tcn,mean_w_cnn,std_w_lstm,std_w_tcn,std_w_cnn,mean_entropy,effective_n_experts
A0_Canonical_V1,PJM,42,0.4328460395336151,0.2876458764076233,0.27950814366340637,0.0027490705251693726,0.002686571329832077,0.0027288433630019426,1.0771288871765137,2.936239004135132
A0_Canonical_V1,PJM,123,0.37135106325149536,0.28726327419281006,0.34138572216033936,0.002208634512498975,0.0011671031825244427,0.0026229366194456816,1.0930652618408203,2.983405113220215
A0_Canonical_V1,PJM,999,0.35451650619506836,0.2954709231853485,0.3500126004219055,0.0011535475496202707,0.0016095323953777552,0.0012480808654800057,1.0952973365783691,2.9900715351104736
A0_Canonical_V1,PJM,2024,0.3689635694026947,0.30210113525390625,0.32893529534339905,0.00021682560327462852,0.000654440897051245,0.0008257949957624078,1.0952304601669312,2.9898712635040283
A0_Canonical_V1,PJM,3407,0.40040016174316406,0.29531973600387573,0.3042801320552826,0.0010407391237094998,0.0015993773704394698,0.0013018554309383035,1.0887091159820557,2.9704370498657227
A0_Canonical_V1,GEFCom,42,0.43585214018821716,0.26231104135513306,0.3018368184566498,0.030184989795088768,0.010344145819544792,0.022591980174183846,1.072447657585144,2.922708034515381
A0_Canonical_V1,GEFCom,123,0.4133062958717346,0.2432960420846939,0.34339767694473267,0.022224586457014084,0.00953497365117073,0.014318402856588364,1.0750343799591064,2.930157423019409
A0_Canonical_V1,GEFCom,999,0.38105764985084534,0.2649337649345398,0.35400858521461487,0.008291122503578663,0.002938514808192849,0.006936030462384224,1.0869910717010498,2.9653406143188477
A0_Canonical_V1,GEFCom,2024,0.4014769494533539,0.28229543566703796,0.31622761487960815,0.027570050209760666,0.008616200648248196,0.020736416801810265,1.0857430696487427,2.961697816848755
A0_Canonical_V1,GEFCom,3407,0.4308919608592987,0.2670101523399353,0.302097886800766,0.007607765030115843,0.005555521231144667,0.004296962171792984,1.0768027305603027,2.9352946281433105
A0_Canonical_V1,UCI,42,0.45574280619621277,0.23118172585964203,0.3130754232406616,0.043677836656570435,0.03868542239069939,0.011707521975040436,1.054772138595581,2.8723514080047607
A0_Canonical_V1,UCI,123,0.4214175343513489,0.1907871812582016,0.3877952992916107,0.004906974267214537,0.02057228982448578,0.01946347951889038,1.0460549592971802,2.846465587615967
A0_Canonical_V1,UCI,999,0.41217461228370667,0.19649188220500946,0.3913334906101227,0.008132131770253181,0.012739545665681362,0.009531864896416664,1.0515937805175781,2.8622827529907227
A0_Canonical_V1,UCI,2024,0.4372395873069763,0.20844176411628723,0.35431867837905884,0.006043938919901848,0.013469578698277473,0.013030683621764183,1.0555171966552734,2.873478651046753
