criterion,regime,count,decoupled_caeg_mae_mw,learned_static_mae_mw,equal_ens_mae_mw,v2_mae_mw,decoupled_vs_equal_gain_mw,decoupled_vs_v2_gain_mw
Baseline_Error,Low,431,222.46182250976562,226.52597045898438,208.2557830810547,220.72085571289062,-14.206039428710938,-1.740966796875
Baseline_Error,Medium,432,212.443359375,216.4742889404297,204.8371124267578,213.3418731689453,-7.6062469482421875,0.8985137939453125
Baseline_Error,High,431,283.7337951660156,289.1064758300781,284.4911193847656,284.994873046875,0.75732421875,1.261077880859375
Disagreement,Low,431,191.15396118164062,192.79148864746094,185.56881713867188,193.7782745361328,-5.58514404296875,2.6243133544921875
Disagreement,Medium,432,226.898681640625,230.6452178955078,218.3843994140625,227.9724884033203,-8.5142822265625,1.0738067626953125
Disagreement,High,431,300.55279541015625,308.6371765136719,293.5993347167969,297.2728576660156,-6.953460693359375,-3.279937744140625
Volatility,Low,431,212.39877319335938,214.56982421875,204.2161407470703,208.19259643554688,-8.182632446289062,-4.2061767578125
Volatility,Medium,432,238.6983184814453,241.79196166992188,231.8708953857422,235.5644989013672,-6.827423095703125,-3.133819580078125
Volatility,High,431,267.4809265136719,275.6862487792969,261.4342041015625,275.2489013671875,-6.046722412109375,7.767974853515625
