seed,criterion,regime,count,v2_mae,equal_ens_mae,v2_advantage_mw,mean_w_gru,mean_w_tcn,mean_w_patch,mean_entropy
42,Baseline_Error,Low,431,227.78201293945312,215.95217895507812,-11.829833984375,0.07622701674699783,0.2906346023082733,0.6331384181976318,0.8443363904953003
42,Baseline_Error,Medium,432,231.32376098632812,216.65704345703125,-14.666717529296875,0.07344413548707962,0.29213079810142517,0.6344251036643982,0.8393720984458923
42,Baseline_Error,High,431,322.6961975097656,287.31304931640625,-35.383148193359375,0.06981177628040314,0.2946169078350067,0.6355712413787842,0.8332139849662781
42,Disagreement,Low,431,212.05934143066406,188.10540771484375,-23.953933715820312,0.08214560151100159,0.2933236360549927,0.6245307922363281,0.8588870167732239
42,Disagreement,Medium,432,241.7147674560547,223.01475524902344,-18.70001220703125,0.07375369966030121,0.2926671802997589,0.6335791349411011,0.8409264087677002
42,Disagreement,High,431,328.0037841796875,308.787353515625,-19.2164306640625,0.0635828971862793,0.29139024019241333,0.6450268030166626,0.8171054720878601
42,Volatility,Low,431,230.6876983642578,208.98477172851562,-21.702926635742188,0.07939935475587845,0.2934390902519226,0.6271615624427795,0.8531617522239685
42,Volatility,Medium,432,259.3074951171875,234.68873596191406,-24.618759155273438,0.07339055091142654,0.2919211983680725,0.6346882581710815,0.8392815589904785
42,Volatility,High,431,291.7418518066406,276.2069091796875,-15.534942626953125,0.06669314205646515,0.2920224964618683,0.6412843465805054,0.8244794607162476
43,Baseline_Error,Low,431,214.48977661132812,211.75584411621094,-2.7339324951171875,0.07327497005462646,0.29148069024086,0.6352444291114807,0.8389898538589478
43,Baseline_Error,Medium,432,217.70428466796875,209.6038818359375,-8.10040283203125,0.07196378707885742,0.291949599981308,0.636086642742157,0.8365076780319214
43,Baseline_Error,High,431,291.0132751464844,294.3749694824219,3.3616943359375,0.06982826441526413,0.2924131751060486,0.6377585530281067,0.8321355581283569
43,Disagreement,Low,431,195.79490661621094,182.20407104492188,-13.590835571289062,0.0756615549325943,0.29030582308769226,0.6340326070785522,0.8432406187057495
43,Disagreement,Medium,432,228.90516662597656,224.25230407714844,-4.652862548828125,0.07187937200069427,0.29137319326400757,0.636747419834137,0.8359462022781372
43,Disagreement,High,431,298.4812927246094,309.2443542480469,10.7630615234375,0.06752628087997437,0.29416579008102417,0.6383079290390015,0.8284474015235901
43,Volatility,Low,431,223.1794891357422,210.48468017578125,-12.694808959960938,0.07413887977600098,0.29104405641555786,0.6348170042037964,0.8405275344848633
43,Volatility,Medium,432,227.70758056640625,241.82461547851562,14.117034912109375,0.07172759622335434,0.29162362217903137,0.6366488337516785,0.8357378840446472
43,Volatility,High,431,272.2970886230469,263.35064697265625,-8.946441650390625,0.06920109689235687,0.293176531791687,0.6376223564147949,0.8313693404197693
44,Baseline_Error,Low,431,214.0664825439453,208.052001953125,-6.0144805908203125,0.0677916407585144,0.2663557529449463,0.6658525466918945,0.8055004477500916
44,Baseline_Error,Medium,432,208.68418884277344,206.11814880371094,-2.5660400390625,0.06592044979333878,0.26502546668052673,0.6690540909767151,0.7998968958854675
44,Baseline_Error,High,431,278.2336730957031,288.65252685546875,10.418853759765625,0.061885230243206024,0.26240235567092896,0.6757124066352844,0.7876982092857361
44,Disagreement,Low,431,197.8345489501953,192.62811279296875,-5.2064361572265625,0.06571721285581589,0.2638641595840454,0.6704186797142029,0.7981831431388855
44,Disagreement,Medium,432,204.81959533691406,203.8688201904297,-0.950775146484375,0.06588571518659592,0.2643650770187378,0.6697492003440857,0.7991021275520325
44,Disagreement,High,431,298.33917236328125,306.3309020996094,7.991729736328125,0.06399448215961456,0.2655559182167053,0.6704494953155518,0.7958120703697205
44,Volatility,Low,431,204.66647338867188,206.87692260742188,2.21044921875,0.06512311846017838,0.2635141611099243,0.6713626980781555,0.7962560057640076
