model,category,mae_mean,mae_std,rmse_mean,rmse_std,mse_mean,mse_std,r2_mean,r2_std,mape_mean,mape_std,mae_official_tasks4_15,params,deterministic
Original_CAEGNet_V1,Proposed Adaptive Gating,12.551394575212667,0.12766738871794267,18.279216604642397,0.1735200991572072,334.1538470592836,6.363699575063347,0.85731095475758,0.002717401653658929,9.370292616001898,0.1253139322687945,11.893157958984375,121531,False
Static_Equal_Ensemble,Static Equal Mixture,12.527405149859991,0.11041417078757733,18.07906118095116,0.1436008712544323,326.8689501527552,5.16529828985161,0.8604217224277113,0.002205665108624296,9.44918478867056,0.12001116171790034,12.21522045135498,120504,False
Standalone_LSTM,Recurrent Expert,13.228135191917882,0.10001594318609819,18.9391804377944,0.1571900031004653,358.71232261299383,5.9520642383529605,0.8468240923132087,0.0025416267712203475,9.910312946626595,0.13251157560905769,12.926567077636719,56152,False
Standalone_TCN,Causal Conv Expert,12.404738315184678,0.11882650414028963,18.02313092381083,0.12356805358404142,324.8454635479194,4.448690408975442,0.8612857836206192,0.0018996620647111502,9.341626653813984,0.16496066446518579,12.065142631530762,36952,False
Standalone_CNN,Multi-Scale CNN Expert,14.504833796579703,0.23410470209386106,20.253985883709532,0.11323163931568193,410.23420130081865,4.58220731414715,0.8248234248249865,0.0019566759219219426,10.869589687695136,0.25082362510466816,13.095429420471191,27400,False
Ridge_Regression,Linear Autoregressive,12.573168704384251,0.0,18.387873223698836,0.0,338.1138816908207,0.0,0.8556199565372282,0.0,9.172921855824177,0.0,12.031373023986816,4056,True
Official_Benchmark,Competition Naive Benchmark,30.190900802612305,0.0,42.0324592590332,0.0,1766.727631362286,0.0,0.245552659034729,0.0,22.35464096069336,0.0,31.02248191833496,0,True
Naive-24,Persistence Day-Ahead,16.683346552342236,0.0,24.297477908889142,0.0,590.3674327329559,0.0,0.7479036495906661,0.0,12.28188826167276,0.0,16.766529083251953,0,True
Seasonal_Naive-168,Persistence Week-Ahead,26.216952957082214,0.0,36.611604953235116,0.0,1340.4096172517502,0.0,0.42762362246430363,0.0,19.19542200841736,0.0,26.631696701049805,0,True
