expert,mean_weight,std_weight,min_weight,max_weight,mean_l2_dev_from_equal,max_l2_dev_from_equal,mean_kl_divergence
GRU,0.08846261352300644,0.059370625764131546,0.0001766377390595153,0.5337310433387756,0.4306314801837879,0.7551819990108596,0.3491970896720886
TCN,0.29002925753593445,0.17297585308551788,0.005830126814544201,0.695809543132782,0.4306314801837879,0.7551819990108596,0.3491970896720886
Patch,0.6215081214904785,0.18927252292633057,0.17873544991016388,0.9495639204978943,0.4306314801837879,0.7551819990108596,0.3491970896720886
