dataset,unit,v1_test_mae,v1_test_mae_sd,best_expert_val,best_expert_val_mae,n_qualified_finalists
PJM,MW,253.4084605166373,9.122337121358202,TCN,461.5191001911743,3
GEFCom,kW,12.879663607048247,0.25280788550930783,TCN,13.37012287359389,3
UCI,MW,7.937377918356235,0.16773639326970527,LSTM,7.55415273689401,3
