model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mape_mean,mape_std
CAEG_Net_BR_Rho_0_20,232.20587768554688,4.025546345999703,319.05435682452844,5.835159197322256,0.8837862491607666,0.004260089900365002,4.291093158721924,0.09884174825949926
CAEG_Net_BR_Rho_0_10,232.4047119140625,3.2243502983723022,319.3111539182129,4.318761167765289,0.8836132168769837,0.0031556259478163835,4.296345329284668,0.08545990967793277
Static_Equal_Ensemble,232.5065887451172,3.476371274625495,319.09571236977115,4.156100144408476,0.8837714433670044,0.003035029460426976,4.299959564208985,0.09101876393605879
CAEG_Net_SR,233.78616027832032,6.226925872698066,320.80851695887105,8.415722573681448,0.8824716091156006,0.006124811702712028,4.318774318695068,0.13221473100655948
CAEG_Net_BR_Optimal,238.4001892089844,9.451375289399426,325.93840998831695,13.393740692383235,0.8785858392715454,0.009874827658154388,4.410759162902832,0.19192962879209655
Decoupled_CAEG,239.52535705566407,10.912408686097352,326.5560731231233,14.544040613999549,0.8780964970588684,0.01086589467252643,4.430033016204834,0.2110259404521504
CAEG_Net_BR_No_KL,241.69280700683595,14.433852872581674,329.3526745470364,17.948226974200036,0.8759019613265991,0.013620729660837168,4.472366619110107,0.2790430102577302
Standalone_TCN,241.77942504882813,6.451108432298151,321.448715589226,8.35432119002553,0.8820032715797425,0.0061276609857525985,4.5019659996032715,0.16300332770878748
Learned_Static_Weights,244.01429138183593,12.577437541712545,332.5872722583976,15.930025961941123,0.8735206723213196,0.012138111601006923,4.515017795562744,0.24385290348150734
Standalone_Patch,263.74439697265626,4.869185421693987,358.5791133650996,5.23350334372412,0.8532237052917481,0.004308934923485613,4.881832790374756,0.09502134036294022
Standalone_GRU,279.6466003417969,8.935489489871381,383.3489052191452,11.163976234010583,0.8321601986885071,0.009723386078775452,5.1922954559326175,0.1701709115234905
