model,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_mse_mean,test_mse_std,test_r2_mean,test_r2_std,test_mape_mean,test_mape_std,parameters
Original CAEG-Net V1,8.100278414705341,0.48081889607214556,11.35360778384709,0.5219600037526235,129.1223635058472,11.733802443835183,0.9818127622333176,0.0016527381404666463,4.280991871465552,0.31526130326336926,121531
Standalone LSTM,8.247616186051015,0.43799221993069487,11.94100780595166,0.7097062030211212,142.9906137374838,17.136715496971675,0.9798593812888988,0.0024137532091356192,4.326015899640302,0.25831900835853744,56152
Standalone TCN,8.335051686802268,0.127868351555563,11.904540930460858,0.16213954975094524,141.7391261518926,3.883283033405093,0.9800356567354072,0.0005469710275297811,4.388462784612675,0.08244449157737546,36952
Static Equal Ensemble,8.428568602719706,0.275993243921972,12.103897004208033,0.3176331864076237,146.5850353613622,7.697373749487217,0.9793530971803044,0.0010841961280751028,4.429860333393789,0.20412587312553207,120504
Standalone CNN,11.70544985423486,1.1874581740253012,15.805594483906011,1.4274612597591296,251.44693350817062,46.685321917424076,0.9645830122586844,0.006575755174182918,6.2304230582315725,0.8043591682448703,27400
