candidate_id,dataset,seed,mean_lambda,std_lambda,median_lambda,min_lambda,max_lambda,pct_5_lambda,pct_95_lambda,frac_lambda_lt_0_1,frac_lambda_gt_0_9
F2,PJM,42,0.5092198848724365,0.005575965158641338,0.5090530514717102,0.49511027336120605,0.5278258323669434,0.5003247857093811,0.5185878276824951,0.0,0.0
F2,PJM,123,0.5104014277458191,0.004918229766190052,0.5106250047683716,0.49026358127593994,0.5220506191253662,0.5019047856330872,0.5188230872154236,0.0,0.0
F2,PJM,999,0.4872271418571472,0.003952047787606716,0.48706698417663574,0.474946528673172,0.5007050633430481,0.4807710647583008,0.49394258856773376,0.0,0.0
F2,PJM,2024,0.5385822653770447,0.0015829105395823717,0.5385864973068237,0.5341571569442749,0.5429206490516663,0.5360285043716431,0.5411691665649414,0.0,0.0
F2,PJM,3407,0.4877294898033142,0.002946262015029788,0.4875432848930359,0.4796035885810852,0.5017218589782715,0.4828304946422577,0.492815226316452,0.0,0.0
F2,GEFCom,42,0.5128667950630188,0.007860523648560047,0.5129185914993286,0.48665642738342285,0.5394970178604126,0.500203013420105,0.525472104549408,0.0,0.0
F2,GEFCom,123,0.5266093015670776,0.006344803608953953,0.5273276567459106,0.49970537424087524,0.5404900908470154,0.5154278874397278,0.5351967215538025,0.0,0.0
F2,GEFCom,999,0.4983178377151489,0.0029759269673377275,0.49859312176704407,0.4751763939857483,0.5076735019683838,0.49289318919181824,0.5026318430900574,0.0,0.0
F2,GEFCom,2024,0.5332029461860657,0.0021578550804406404,0.5334943532943726,0.5225169658660889,0.5479438304901123,0.5293819904327393,0.5361035466194153,0.0,0.0
F2,GEFCom,3407,0.513851523399353,0.0079822251573205,0.5163146257400513,0.40142297744750977,0.5273491144180298,0.4996154010295868,0.5210289359092712,0.0,0.0
F2,UCI,42,0.5141665935516357,0.004379564896225929,0.5148834586143494,0.4782654643058777,0.5212207436561584,0.507970929145813,0.5186264514923096,0.0,0.0
