candidate_id,dataset,seed,mean_w_lstm,mean_w_tcn,mean_w_cnn,std_w_lstm,std_w_tcn,std_w_cnn,mean_entropy,effective_n_experts,max_w_expert,min_w_expert
F0,PJM,42,0.4328460395336151,0.2876458764076233,0.27950814366340637,0.0027490705251693726,0.002686571329832077,0.0027288433630019426,1.0771288871765137,2.936239004135132,0.43745484948158264,0.2719418704509735
F0,PJM,123,0.37135106325149536,0.28726327419281006,0.34138572216033936,0.002208634512498975,0.0011671031825244427,0.0026229366194456816,1.0930652618408203,2.983405113220215,0.3788209855556488,0.2849603593349457
F0,PJM,999,0.35451650619506836,0.2954709231853485,0.3500126004219055,0.0011535475496202707,0.0016095323953777552,0.0012480808654800057,1.0952973365783691,2.9900715351104736,0.35615599155426025,0.29222315549850464
F0,PJM,2024,0.3689635694026947,0.30210113525390625,0.32893529534339905,0.00021682560327462852,0.000654440897051245,0.0008257949957624078,1.0952304601669312,2.9898712635040283,0.36927729845046997,0.300180047750473
F0,PJM,3407,0.40040016174316406,0.29531973600387573,0.3042801320552826,0.0010407391237094998,0.0015993773704394698,0.0013018554309383035,1.0887091159820557,2.9704370498657227,0.4037061929702759,0.2888696789741516
F0,GEFCom,42,0.43585214018821716,0.26231104135513306,0.3018368184566498,0.030184989795088768,0.010344145819544792,0.022591980174183846,1.072447657585144,2.922708034515381,0.47038474678993225,0.24808859825134277
F0,GEFCom,123,0.4133062958717346,0.2432960420846939,0.34339767694473267,0.022224586457014084,0.00953497365117073,0.014318402856588364,1.0750343799591064,2.930157423019409,0.45956286787986755,0.2316243052482605
F0,GEFCom,999,0.38105764985084534,0.2649337649345398,0.35400858521461487,0.008291122503578663,0.002938514808192849,0.006936030462384224,1.0869910717010498,2.9653406143188477,0.40207022428512573,0.25880667567253113
F0,GEFCom,2024,0.4014769494533539,0.28229543566703796,0.31622761487960815,0.027570050209760666,0.008616200648248196,0.020736416801810265,1.0857430696487427,2.961697816848755,0.4366498291492462,0.26938292384147644
F0,GEFCom,3407,0.4308919608592987,0.2670101523399353,0.302097886800766,0.007607765030115843,0.005555521231144667,0.004296962171792984,1.0768027305603027,2.9352946281433105,0.4419139623641968,0.26006901264190674
F0,UCI,42,0.45574280619621277,0.23118172585964203,0.3130754232406616,0.043677836656570435,0.03868542239069939,0.011707521975040436,1.054772138595581,2.8723514080047607,0.5117813348770142,0.18149831891059875
F0,UCI,123,0.4214175343513489,0.1907871812582016,0.3877952992916107,0.004906974267214537,0.02057228982448578,0.01946347951889038,1.0460549592971802,2.846465587615967,0.42751544713974,0.18467634916305542
F0,UCI,999,0.41217461228370667,0.19649188220500946,0.3913334906101227,0.008132131770253181,0.012739545665681362,0.009531864896416664,1.0515937805175781,2.8622827529907227,0.42319944500923157,0.185108482837677
F0,UCI,2024,0.4372395873069763,0.20844176411628723,0.35431867837905884,0.006043938919901848,0.013469578698277473,0.013030683621764183,1.0555171966552734,2.873478651046753,0.4443230628967285,0.20451512932777405
F0,UCI,3407,0.5036414265632629,0.19379688799381256,0.3025616407394409,0.021613923832774162,0.01874495856463909,0.008051229640841484,1.0237280130386353,2.783971071243286,0.5269984602928162,0.1759784072637558
F1,PJM,42,0.3929319381713867,0.2886829972267151,0.3183850944042206,0.005116474349051714,0.006591993849724531,0.006344310473650694,1.0899299383163452,2.974069118499756,0.4070174992084503,0.2724929749965668
F1,PJM,123,0.3710208535194397,0.28929460048675537,0.33968454599380493,0.0034503829665482044,0.002806631848216057,0.0016202492406591773,1.093417763710022,2.9844577312469482,0.37918731570243835,0.2818094491958618
F1,PJM,999,0.3477119207382202,0.320482075214386,0.3318060040473938,0.0025989252608269453,0.004088012967258692,0.0025429727975279093,1.0980066061019897,2.998183488845825,0.3543641269207001,0.3102547228336334
F1,PJM,2024,0.3702355921268463,0.27977627515792847,0.3499881327152252,0.0057224370539188385,0.008168789558112621,0.002620983636006713,1.0915054082870483,2.9787611961364746,0.38314738869667053,0.26181724667549133
F1,PJM,3407,0.36990007758140564,0.31279173493385315,0.3173081874847412,0.003732136217877269,0.005918905138969421,0.006081152241677046,1.0955053567886353,2.990694284439087,0.3828330636024475,0.30022433400154114
F1,GEFCom,42,0.410969614982605,0.2518553137779236,0.33717507123947144,0.030559968203306198,0.011709720827639103,0.020868130028247833,1.077232003211975,2.9366579055786133,0.47139135003089905,0.2315058708190918
F1,GEFCom,123,0.4130209684371948,0.25039854645729065,0.33658042550086975,0.024542275816202164,0.00928792916238308,0.017445126548409462,1.0770902633666992,2.9361824989318848,0.45097318291664124,0.22929920256137848
F1,GEFCom,999,0.35770711302757263,0.30314740538597107,0.3391454815864563,0.015264450572431087,0.00726409861817956,0.009099961258471012,1.0957448482513428,2.991412401199341,0.3922664225101471,0.2897721529006958
F1,GEFCom,2024,0.3792497515678406,0.2708422839641571,0.34990793466567993,0.01287218276411295,0.007297934032976627,0.007140473462641239,1.0885268449783325,2.969905376434326,0.39280369877815247,0.2580530643463135
F1,GEFCom,3407,0.3473404049873352,0.26499563455581665,0.38766396045684814,0.018243979662656784,0.005845110397785902,0.0152997812256217,1.085726022720337,2.961595296859741,0.4848664104938507,0.2541670799255371
F1,UCI,42,0.36967578530311584,0.2329784631729126,0.39734578132629395,0.04014960676431656,0.035878345370292664,0.009222911670804024,1.0689698457717896,2.9127306938171387,0.4284340739250183,0.17875298857688904
F1,UCI,123,0.4319438934326172,0.19959212839603424,0.36846399307250977,0.0020686571951955557,0.006818349007517099,0.007580067031085491,1.051918625831604,2.863156795501709,0.4552498757839203,0.19132938981056213
F1,UCI,999,0.4516403079032898,0.18788151443004608,0.36047816276550293,0.0026820048224180937,0.009703791700303555,0.011720365844666958,1.0404843091964722,2.830605983734131,0.4788391590118408,0.18259191513061523
F1,UCI,2024,0.39933058619499207,0.23350995779037476,0.36715948581695557,0.00277928588911891,0.008082536980509758,0.006731098517775536,1.0738896131515503,2.926755428314209,0.4039561450481415,0.2246374636888504
F1,UCI,3407,0.48659417033195496,0.18148615956306458,0.33191969990730286,0.00706892553716898,0.006978513672947884,0.0035297945141792297,1.0260895490646362,2.7901864051818848,0.4978712499141693,0.17481480538845062
F2,PJM,42,0.36792752146720886,0.3260849416255951,0.30598753690719604,0.0035615740343928337,0.006659180391579866,0.003548332955688238,1.0955381393432617,2.9907915592193604,0.3758615553379059,0.28819724917411804
