dataset,corr_disagreement_delta_equal,spearman_disagreement_delta_equal,pct_lstm_best,pct_tcn_best,pct_cnn_best,mean_w_lstm_when_lstm_best,mean_w_tcn_when_tcn_best,mean_w_cnn_when_cnn_best,non_overlapping_corr_lstm_tcn,non_overlapping_corr_lstm_cnn,non_overlapping_corr_tcn_cnn
PJM,-0.07181578874588013,-0.12524075163978574,0.3608964451313756,0.5255023183925811,0.11360123647604328,0.43266475200653076,0.2878047227859497,0.28010982275009155,0.8026019339365964,0.6336202520785653,0.6714709146835407
GEFCom,0.03831791132688522,-0.004839241663446564,0.3213633040935672,0.4415204678362573,0.23711622807017543,0.43698206543922424,0.2617310881614685,0.30371421575546265,0.8968539174434116,0.8523779602458575,0.8643957706483054
UCI,0.011905582621693611,0.017765699353538725,0.6287608363080062,0.2738398776134625,0.09739928607853136,0.4542454481124878,0.22908896207809448,0.31196582317352295,0.8483352781188919,0.6760310056009179,0.6792536625847847
