dataset,model,test_mae
PJM,LSTM,302.6312415365212
PJM,TCN,247.982939502494
PJM,CNN,422.071347574178
PJM,Static_Equal_Ensemble,277.131068304849
GEFCom,LSTM,13.127188721566405
GEFCom,TCN,13.024889618100246
GEFCom,CNN,14.007659527700081
GEFCom,Static_Equal_Ensemble,12.657744210424013
UCI,LSTM,7.963259226445456
UCI,TCN,8.449097671700075
UCI,CNN,11.900391329921428
UCI,Static_Equal_Ensemble,8.188062156237612
