seed,LSTM_MAE,TCN_MAE,CNN_MAE,Equal_Ensemble_MAE,Equal_Ensemble_RMSE,Equal_Ensemble_R2,num_test_origins,first_origin,last_origin
42,313.99957885427733,275.8393648944523,412.03879731466697,285.6301071662254,392.02170055681165,0.8245989508830531,1294,167,1460
123,285.0943271611414,254.81351473698723,425.1944640217093,277.13829362054634,382.16623868622383,0.8333072904145307,1294,167,1460
2024,279.90940985858964,270.4050020495989,444.20437281675896,284.04709397659417,385.59106297469083,0.8303062335792396,1294,167,1460
3407,312.89442861282845,248.96336126548613,497.2183382957022,301.26240015201876,403.41518163398854,0.8142552934328449,1294,167,1460
999,271.38201106374623,255.64031759160872,413.82134159958775,276.1358879910862,378.6574550733344,0.836354151017167,1294,167,1460
