seed,LSTM_MAE,TCN_MAE,CNN_MAE,Equal_Ensemble_MAE,Equal_Ensemble_RMSE,Equal_Ensemble_R2,num_test_origins,first_origin,last_origin
42,282.0597249207455,248.15934112721777,406.88556758009975,271.19030823823044,369.5368221932614,0.844142606236655,1294,167,1460
123,284.1292550402901,255.12362949188562,411.7910012702608,279.45489217373955,384.0380171713759,0.8316704325058666,1294,167,1460
2024,294.77892860440113,261.1881349338569,417.5311347847437,274.24151667929505,371.48761506252725,0.8424927136931809,1294,167,1460
3407,297.64778918620544,253.4875564693115,470.7976841324694,287.4266888531504,394.2105795244846,0.822634755938537,1294,167,1460
999,300.033087398759,251.65867083322013,428.6807155147279,275.2473221493406,375.71000028223796,0.8388918614584059,1294,167,1460
