criterion,regime,count,caeg_sr_mae_mw,equal_ens_mae_mw,decoupled_caeg_mae_mw,v2_mae_mw,caeg_sr_vs_equal_gain_mw,caeg_sr_vs_decoupled_gain_mw,caeg_sr_vs_v2_gain_mw
Baseline_Error,Low,431,221.894287109375,208.2557830810547,222.46182250976562,220.72085571289062,-13.638504028320312,0.567535400390625,-1.173431396484375
Baseline_Error,Medium,432,211.3364715576172,204.8371124267578,212.443359375,213.3418731689453,-6.499359130859375,1.1068878173828125,2.005401611328125
Baseline_Error,High,431,281.00018310546875,284.4911193847656,283.7337951660156,284.994873046875,3.490936279296875,2.733612060546875,3.99468994140625
Disagreement,Low,431,190.27407836914062,185.56881713867188,191.15396118164062,193.7782745361328,-4.70526123046875,0.8798828125,3.5041961669921875
Disagreement,Medium,432,226.35842895507812,218.3843994140625,226.898681640625,227.9724884033203,-7.974029541015625,0.540252685546875,1.6140594482421875
Disagreement,High,431,297.5635681152344,293.5993347167969,300.55279541015625,297.2728576660156,-3.9642333984375,2.989227294921875,-0.29071044921875
Volatility,Low,431,211.75338745117188,204.2161407470703,212.39877319335938,208.19259643554688,-7.5372467041015625,0.6453857421875,-3.560791015625
Volatility,Medium,432,238.0433807373047,231.8708953857422,238.6983184814453,235.5644989013672,-6.1724853515625,0.654937744140625,-2.4788818359375
Volatility,High,431,264.3721923828125,261.4342041015625,267.4809265136719,275.2489013671875,-2.93798828125,3.108734130859375,10.876708984375
