candidate_id,aggregation_mode,comparison,dataset,k_blocks,mean_daily_diff,std_daily_diff,ci_95_low,ci_95_high,t_stat,p_value_t,w_stat,p_value_wilcoxon,cohen_d,p_val_t_holm,p_val_wilcoxon_holm
F1,seed42,vs_F0_Canonical_V1,PJM,53,-15.373844146728516,47.229156494140625,-28.089194345606366,-2.6584939478506673,-2.3697917461395264,0.021543608978390694,511.0,0.07023527473211288,-0.32551595846054704,0.08617443591356277,0.28094109892845154
F1,5seed_mean,vs_F0_Canonical_V1,PJM,53,-1.9761461019515991,13.690983772277832,-5.6621245558175675,1.7098323519143692,-1.0508055686950684,0.2982069253921509,679.0,0.7465998530387878,-0.144339233277714,0.37584343552589417,0.7858866453170776
F2,seed42,vs_F0_Canonical_V1,PJM,53,-16.897029876708984,66.19379425048828,-34.71816701668408,0.9241072632661123,-1.8583650588989258,0.06878180801868439,659.0,0.6169474720954895,-0.2552660723785551,0.13756361603736877,1.0
F2,5seed_mean,vs_F0_Canonical_V1,PJM,53,-9.663825988769531,27.517972946166992,-17.07239918268565,-2.2552527948534102,-2.5566461086273193,0.013527627103030682,470.0,0.029753709211945534,-0.3511823346931443,0.040582881309092045,0.0892611276358366
F3,seed42,vs_F0_Canonical_V1,PJM,53,-13.790102005004883,61.42134475708008,-30.326368291470853,2.7461642814610876,-1.6345044374465942,0.10819334536790848,713.0,0.9823427200317383,-0.22451644550114028,0.13756361603736877,1.0
F3,5seed_mean,vs_F0_Canonical_V1,PJM,53,-4.351273536682129,23.741222381591797,-10.743044619208835,2.0404975458445778,-1.3342931270599365,0.18792171776294708,619.0,0.3929433226585388,-0.1832792543244605,0.37584343552589417,0.7858866453170776
F4,seed42,vs_F0_Canonical_V1,PJM,53,-18.519262313842773,62.310062408447266,-35.29479512556333,-1.7437295021222141,-2.1637320518493652,0.03510115295648575,624.0,0.41792410612106323,-0.29721142292356356,0.10530345886945724,1.0
F4,5seed_mean,vs_F0_Canonical_V1,PJM,53,-11.042472839355469,28.93522834777832,-18.83260903567192,-3.252336643039018,-2.7782888412475586,0.007584816310554743,412.0,0.007213709410279989,-0.3816272919231014,0.037847456987947226,0.036068547051399946
F5,seed42,vs_F0_Canonical_V1,PJM,53,-20.770793914794922,54.84979248046875,-35.53782283286299,-6.003764996726851,-2.756868600845337,0.008030783385038376,430.0,0.011488947086036205,-0.37868500447662157,0.04015391692519188,0.057444735430181026
F5,5seed_mean,vs_F0_Canonical_V1,PJM,53,-8.079998016357422,21.166719436645508,-13.778644153129578,-2.3813518795852655,-2.779045581817627,0.007569491397589445,428.0,0.01092245988547802,-0.3817312378861778,0.037847456987947226,0.04368983954191208
F1,seed42,vs_F0_Canonical_V1,GEFCom,456,-0.08041252940893173,0.5419712662696838,-0.13015758403970046,-0.030667474778163013,-3.1683261394500732,0.001636456698179245,43454.0,0.0021402789279818535,-0.1483704633987256,0.00327291339635849,0.004280557855963707
F1,5seed_mean,vs_F0_Canonical_V1,GEFCom,456,-0.2900516390800476,0.7230298519134521,-0.3564152301439586,-0.22368804801613665,-8.566461563110352,1.667864650820963e-16,28468.0,4.757501499830157e-17,-0.4011613549576563,3.335729301641926e-16,9.515002999660314e-17
F2,seed42,vs_F0_Canonical_V1,GEFCom,456,-0.41045522689819336,1.4235625267028809,-0.5411174964103052,-0.2797929573860815,-6.1570353507995605,1.6296947125127303e-09,34914.0,1.0399884287082273e-09,-0.2883296071058813,6.518778850050921e-09,4.159953714832909e-09
F2,5seed_mean,vs_F0_Canonical_V1,GEFCom,456,-0.6884315609931946,1.2405977249145508,-0.8023003312426733,-0.5745627907437159,-11.849831581115723,2.0364987862007223e-28,20445.0,2.534959247536966e-29,-0.5549192470842388,1.0182493931003612e-27,1.267479623768483e-28
F3,seed42,vs_F0_Canonical_V1,GEFCom,456,-0.32569223642349243,1.3289700746536255,-0.44767229898534294,-0.20371217386164192,-5.233288288116455,2.5473389086982934e-07,37362.0,1.6614464470876555e-07,-0.245071157119672,7.64201672609488e-07,4.984339341262967e-07
F3,5seed_mean,vs_F0_Canonical_V1,GEFCom,456,-0.5639398097991943,1.207429051399231,-0.6747641797663366,-0.4531154398320521,-9.97363567352295,2.548391804033684e-21,24851.0,3.7700452783594824e-22,-0.46705833727877305,7.645175412101052e-21,1.1310135835078447e-21
F4,seed42,vs_F0_Canonical_V1,GEFCom,456,-0.3710927367210388,1.2246168851852417,-0.48349469905124964,-0.258690774390828,-6.4708991050720215,2.5230920130958623e-10,34765.0,7.457305883917797e-10,-0.303027614742246,1.2615460065479311e-09,3.728652941958899e-09
F4,5seed_mean,vs_F0_Canonical_V1,GEFCom,456,-0.4911128580570221,1.0398409366607666,-0.5865550842796948,-0.39567063183434936,-10.085484504699707,1.0078903948532583e-21,24466.0,9.809371129364206e-23,-0.47229613301354323,4.031561579413033e-21,3.9237484517456823e-22
F5,seed42,vs_F0_Canonical_V1,GEFCom,456,0.04462915286421776,0.8470526337623596,-0.033117920023365874,0.12237622575180139,1.1250988245010376,0.26114028692245483,46019.0,0.030846621841192245,0.052687578738894125,0.26114028692245483,0.030846621841192245
