criterion,regime,count,v3_mae_mw,equal_ens_mae_mw,v2_mae_mw,v3_gain_over_equal_mw,v3_gain_over_v2_mw
Baseline_Error,Low,431,219.5690460205078,211.606201171875,220.72085571289062,-7.9628448486328125,1.1518096923828125
Baseline_Error,Medium,432,220.11294555664062,210.39791870117188,213.3418731689453,-9.71502685546875,-6.7710723876953125
Baseline_Error,High,431,305.7953186035156,290.4615478515625,284.994873046875,-15.333770751953125,-20.800445556640625
Disagreement,Low,431,199.0943603515625,190.2165069580078,193.12579345703125,-8.877853393554688,-5.96856689453125
Disagreement,Medium,432,243.0027313232422,230.6958465576172,234.3722381591797,-12.306884765625,-8.6304931640625
Disagreement,High,431,303.32708740234375,291.5062561035156,291.5107727050781,-11.820831298828125,-11.816314697265625
Volatility,Low,431,220.21005249023438,208.2007293701172,208.19259643554688,-12.009323120117188,-12.0174560546875
Volatility,Medium,432,244.5444793701172,236.5951385498047,235.5644989013672,-7.9493408203125,-8.97998046875
Volatility,High,431,280.666015625,267.60906982421875,275.2489013671875,-13.05694580078125,-5.4171142578125
