seed,corr_slope_diff_vs_tcn_patch_advantage,corr_range_diff_vs_tcn_patch_advantage,corr_early_disagreement_vs_advantage,corr_late_disagreement_vs_advantage
42,0.07508892901581658,0.26060640754599884,-0.30905756159409403,-0.4521525601382989
43,0.11924010380118803,0.3710348149583199,-0.2420829632939855,-0.3976368167348147
44,-0.0550191895270711,0.26938220708743293,-0.1690032700468141,-0.32849129608597505
45,0.043651248145376895,0.23127644803103944,-0.0816085547517264,-0.3415705810085521
46,0.08174137762289385,0.20749972013613388,-0.008102404308451057,-0.2512857762553791
