seed,mae_full_v2_mw,mae_no_recent_error_mw,delta_mw,superior_model
42,246.60333251953125,250.4750213623047,-3.8716888427734375,CAEG_Net_V2_Full
43,240.57786560058594,238.04974365234375,2.5281219482421875,CAEG_Net_V2_NoRecentError
44,245.22320556640625,246.77003479003906,-1.5468292236328125,CAEG_Net_V2_Full
45,239.19354248046875,251.62738037109375,-12.433837890625,CAEG_Net_V2_Full
46,247.17623901367188,244.9786376953125,2.197601318359375,CAEG_Net_V2_NoRecentError
