regime_type,regime_level,sample_count_first,v2_mae_mw_mean,v2_mae_mw_std,equal_ens_mae_mw_mean,equal_ens_mae_mw_std,tcn_mae_mw_mean,tcn_mae_mw_std,patch_mae_mw_mean,patch_mae_mw_std,internal_equal_ens_mae_mw_mean,internal_equal_ens_mae_mw_std,v2_minus_equal_mae,v2_beats_equal
Baseline_Error,High,431,284.99485473632814,8.356553884628756,290.4615417480469,3.4226100529239476,282.8461669921875,11.84215975168769,321.02728881835935,10.077859592163485,314.9562133789062,13.677317678486123,-5.466687011718761,True
Baseline_Error,Low,431,220.72083435058593,5.929147777108035,211.60619506835937,2.959993256110394,237.86211853027345,6.585770452155991,238.2704833984375,5.886952759053714,231.04383239746093,9.081654587438708,9.114639282226562,False
Baseline_Error,Medium,432,213.34188232421874,5.5487025483686505,210.3979461669922,4.80251435542908,229.5613983154297,4.000111373270197,237.2377166748047,8.168575401311868,230.10113220214845,12.996182659757904,2.9439361572265454,False
Disagreement,High,431,297.927880859375,5.899278485205752,306.4352661132813,10.443485596662558,303.584619140625,16.440795612842898,336.5735168457031,17.390815970158133,334.87864990234374,20.789640026240093,-8.50738525390625,True
Disagreement,Low,431,197.76805419921874,9.213895434293068,190.54378967285157,9.353685272925945,211.25076599121093,7.516903075290383,218.78526916503907,7.105718045941386,205.28314208984375,7.302322702243527,7.224264526367165,False
Disagreement,Medium,432,223.3384552001953,12.28121221049754,215.47484436035157,10.639911892329765,235.4207305908203,6.843922460285985,241.16756286621094,18.565812186112428,235.92586364746094,13.631863173791949,7.863610839843744,False
Volatility,High,431,275.2489074707031,4.34869279662669,267.6090515136719,7.082960524092828,266.06903076171875,6.603478393164831,312.79216918945315,16.981296765152518,300.6555480957031,14.97038509663458,7.639855957031216,False
Volatility,Low,431,208.1926055908203,6.1751965659005075,208.200732421875,4.274956863064925,229.80723266601564,7.096661281094306,226.93081359863282,7.466655493263555,219.48797607421875,12.891289793016698,-0.008126831054681816,True
Volatility,Medium,432,235.56449279785156,8.24965829904306,236.59512634277343,3.367868579073565,254.33595581054686,7.05048163545009,256.7671844482422,5.926400891874074,255.897802734375,10.639292204010847,-1.0306335449218693,True
