model,mae_mean,mae_std,mae_median,mae_min,mae_max,rmse_mean,rmse_std,r2_mean,r2_std,mape_mean,mape_std,mse_mean,mse_std,param_count
Naive-24,285.19403076171875,0.0,285.19403076171875,285.19403076171875,285.19403076171875,388.8624033639663,0.0,0.8274146914482117,0.0,5.310493469238281,0.0,151213.96875,0.0,0
Standalone_GRU,279.6466003417969,8.935489489871381,280.8016662597656,267.6759338378906,288.74505615234375,383.3489052191452,11.163976234010583,0.8321601986885071,0.009723386078775452,5.1922954559326175,0.1701709115234905,147056.090625,8519.322027530397,31344
Standalone_TCN,245.08487548828126,4.539081004185782,246.91610717773438,239.65933227539062,249.36386108398438,326.80178359956625,6.4663055663826885,0.8780682682991028,0.0048165459688320035,4.523758220672607,0.10553778003610935,106832.85625,4220.099943908718,44870
Standalone_Patch,261.8180297851562,9.161589683243436,261.1580505371094,248.30081176757812,273.618896484375,358.94466970740115,13.302476914312992,0.8527877807617188,0.010864398052358734,4.8307184219360355,0.19604586499352777,128982.840625,9519.04704916734,63624
Static_Equal_Ensemble,236.0439880371094,3.042961320287261,235.33538818359375,232.38414001464844,240.0390625,324.37160091110434,3.4760043273939334,0.8799015045166015,0.0025765929348001136,4.3524489402771,0.07651795859923705,105226.6015625,2257.53847806631,0
Standard_Input_MoE,250.63373413085938,6.828618181569207,249.3582305908203,244.7452850341797,261.5300598144531,340.6738220214844,6.838727610276463,0.867495846748352,0.00537687529373468,4.584138679504394,0.12536419128955628,116096.06756698806,4711.067750697144,147457
CAEG_Net_V2_Full,243.7548370361328,3.635745442043429,245.22320556640625,239.19354248046875,247.17623901367188,330.3513427734375,6.154825312972572,0.8754095554351806,0.004642116504947115,4.524150085449219,0.08049117866680924,109162.31517191976,4067.274811854982,142433
CAEG_Net_V2_NoRecentError,246.38016357421876,5.380829741940276,246.77003479003906,238.04974365234375,251.62738037109375,336.46315307617186,3.8148048267062338,0.8707794427871705,0.0029270825997021526,4.5221099853515625,0.08663735173536478,113219.09556665216,2564.6154473024812,142433
CAEG_Net_V1_Canonical_Reference,251.44,9.74,247.3,244.0,268.31,334.32,11.09,0.8723,0.0086,4.71,0.21,111865.65,7430.22,121531
