candidate_id,dataset,unit,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_mse_mean,test_mse_std,test_r2_mean,test_r2_std,test_mape_mean,test_mape_std
A0_Canonical_V1,PJM,MW,253.4084605166373,9.122337121358202,338.3350606329629,12.53312308391905,114627.6924277473,8587.904040355415,0.8327551808854359,0.008914091710472813,4.652995217309127,0.16937551238474893
A0_Canonical_V1,GEFCom,kW,12.879663607048247,0.25280788550930783,18.481519835597418,0.29018152339196873,341.6507807500988,10.780174910343675,0.8244878770436243,0.008300240114032988,8.762402471878644,0.19667184650423036
A0_Canonical_V1,UCI,MW,7.937377918356235,0.16773639326970527,11.178699256342112,0.12562387231489888,124.97909842103908,2.8029717485877104,0.9816169777501097,0.00035127319825318084,4.051622787811188,0.17541717256709072
A1_P2_OOF,PJM,MW,250.6309463068605,5.553169740219562,335.489969779583,6.117488429919455,112590.94348739574,4088.2881265015494,0.8307918338851896,0.004363726715418712,4.6221999849553885,0.1082903301361367
A1_P2_OOF,GEFCom,kW,12.640405415268669,0.21956851183999393,18.227421639253706,0.17121898033100846,332.2682155543598,6.255019613452532,0.8311256191696597,0.0014807333047057768,8.587709210312564,0.12656459097424066
A1_P2_OOF,UCI,MW,7.983308284865863,0.1973026564415863,11.218857321704565,0.18248924062374353,125.89606192770752,4.1109245265076675,0.9816165976826747,0.000810428074054348,4.062004847733432,0.21525444174069303
A2_C1_OOF,PJM,MW,255.48940703418072,6.3610315026497934,341.54456458963756,7.625262647617898,116710.83423117021,5187.66622683687,0.8387594096666733,0.013373208355314116,4.709166001400394,0.11834228766660677
A2_C1_OOF,GEFCom,kW,12.461136329197279,0.12464012375440896,18.11524428502727,0.21563731325723276,328.20857495708196,7.791616662337344,0.8364314134597537,0.004699810389791989,8.544224086352816,0.13177631624223296
A2_C1_OOF,UCI,MW,7.593048314676993,0.15013568751352868,10.79920882588369,0.1477216919470048,116.64473296331587,3.196880053776174,0.9830876493323959,0.0005262957284050792,3.8635686512240675,0.10675266009972093
A3_Confidence_Only,PJM,MW,255.66332953726737,6.405646576335806,339.8303739273646,8.173065719190173,115551.48204686263,5567.457975387801,0.8402792219016764,0.014403328087678116,4.715622373181681,0.09585323816614387
A3_Confidence_Only,GEFCom,kW,12.439532218614982,0.20633518376671084,18.08087107744587,0.2222792020873443,326.96730696289933,7.9949436805341385,0.8385780007253244,0.006060161074192095,8.51216447513892,0.13987563155392466
A3_Confidence_Only,UCI,MW,7.711494454052017,0.18137265419805063,10.91492140015504,0.15256902320639212,119.15878647840461,3.301395486366017,0.9826956188811942,0.0006089146322394089,3.958830009597834,0.18501819957694604
