regime,n_samples,mae_br_mw,mae_equal_mw,mae_sr_mw,mae_dcaeg_mw,gain_vs_equal_mw,gain_vs_sr_mw,gain_vs_dcaeg_mw
Baseline_Error_Low,431,209.24212646484375,201.35153198242188,204.84259033203125,210.08587646484375,-7.890594482421875,-4.3995361328125,0.84375
Baseline_Error_Med,432,197.41796875,198.26742553710938,195.35606384277344,197.58297729492188,0.849456787109375,-2.0619049072265625,0.165008544921875
Baseline_Error_High,431,272.1230773925781,278.33941650390625,271.8050537109375,270.4622497558594,6.216339111328125,-0.318023681640625,-1.66082763671875
Disagreement_Low,431,188.034423828125,186.70751953125,186.84043884277344,188.56809997558594,-1.326904296875,-1.1939849853515625,0.5336761474609375
Disagreement_Med,432,219.61917114257812,216.2991485595703,216.9663848876953,220.22549438476562,-3.3200225830078125,-2.6527862548828125,0.6063232421875
Disagreement_High,431,271.07806396484375,274.909912109375,268.1467590332031,269.28497314453125,3.83184814453125,-2.931304931640625,-1.7930908203125
Volatility_Low,431,198.7769775390625,198.01589965820312,196.83323669433594,199.9149932861328,-0.761077880859375,-1.9437408447265625,1.1380157470703125
Volatility_Med,432,225.7266387939453,225.56582641601562,223.92361450195312,225.73326110839844,-0.1608123779296875,-1.8030242919921875,0.006622314453125
Volatility_High,431,254.2138671875,254.31333923339844,251.1805877685547,252.4175567626953,0.0994720458984375,-3.0332794189453125,-1.7963104248046875
