seed,mean_w_GRU,mean_w_TCN,mean_w_Patch,std_w_GRU,std_w_TCN,std_w_Patch,mean_entropy_H,mean_n_eff,top_choice_Patch_share,top_choice_TCN_share,top_choice_GRU_share
42,0.07704026252031326,0.29103323817253113,0.6319267153739929,0.007176493760198355,0.0032537714578211308,0.009482269175350666,0.8463330268859863,2.331409454345703,1.0,0.0,0.0
43,0.07025957852602005,0.271661639213562,0.6580788493156433,0.0018155717989429832,0.004288917873054743,0.003689095377922058,0.8158998489379883,2.2612264156341553,1.0,0.0,0.0
44,0.07662557810544968,0.26484793424606323,0.6585263013839722,0.005255633499473333,0.004025653004646301,0.008085333742201328,0.8235461115837097,2.2787904739379883,1.0,0.0,0.0
45,0.07776854932308197,0.28082168102264404,0.6414105296134949,0.011663082055747509,0.01095032598823309,0.022096430882811546,0.838577389717102,2.314495801925659,1.0,0.0,0.0
46,0.051898542791604996,0.26401057839393616,0.6840909719467163,0.005193227436393499,0.007922825403511524,0.006635940633714199,0.7644538283348083,2.1479551792144775,1.0,0.0,0.0
