model,mae_mean,mae_std,rmse_mean,rmse_std,mse_mean,mse_std,r2_mean,r2_std,mape_mean,mape_std,train_time_mean,params
Original_CAEGNet_V1,251.7353391432136,7.7896416454153545,334.82710396818703,7.463641472516499,112153.75430694732,5030.351496607915,0.8719953383097145,0.005741300819446851,4.715990642139197,0.1561882431418264,27.30153694152832,121531
Bounded_CAEGNet_rho0.50,250.55800535348445,7.509510914930345,333.38699718247756,8.090563920344891,111199.25566998866,5357.284606362231,0.873084738088284,0.006114440019004259,4.627337393947451,0.10510333964188281,26.427013206481934,121531
Static_Equal_Ensemble,279.7882832389097,8.97502068520038,383.58748268383835,13.400964398123326,147283.02554916378,10299.844476910495,0.8319011791032433,0.011755541451792617,5.1656778527535305,0.1690193893603151,45.62938718795776,120504
Standalone_TCN,254.426949897149,4.077016544296719,340.20070987719595,4.5049069677211,115752.7583503783,3065.872171026882,0.8678876800521003,0.00349917782479126,4.710819739691718,0.11378849409646662,18.71609148979187,36952
Standalone_LSTM,291.72975703008024,8.132388926299114,401.4403524679939,15.108174470512667,161336.96213829232,12296.38344101461,0.8158609724278196,0.014034255135796207,5.383891588245979,0.18729602028533696,7.959458637237549,56152
Standalone_CNN,432.08348592594075,42.736100384381366,579.4537055204166,54.88399995969288,338176.3996026021,65253.67373122898,0.6140284746572372,0.07447610186239507,8.083456225854443,0.8269975267047132,18.953837060928343,27400
