model,mean_mae_mw,std_mae_mw,mean_rmse_mw,mean_r2,mean_mape_pct,trainable_params,total_deployed_params
Static_Equal_Ensemble,232.50658569335937,3.476376232480855,319.09571479290395,0.8837714314460754,4.299959468841553,0,139838
CAEG_Net_SR_KL_Only,233.74912719726564,6.951752570101634,320.575927734375,0.8826269507408142,4.3190717697143555,2595,142433
CAEG_Net_SR_Optimal,238.0563201904297,11.05236929307544,324.67511596679685,0.8794986963272095,4.405744171142578,2595,142433
CAEG_Net_SR_Shrinkage_Only,238.73136291503906,11.19777127075974,325.66090698242186,0.8787549734115601,4.416353416442871,2595,142433
Decoupled_CAEG_Unconstrained,239.52535705566407,10.912408686097352,326.5560731231233,0.8780964970588684,4.430033016204834,2595,142433
CAEG_Net_V2_Full,239.66549682617188,5.262285774817764,326.43539829005186,0.8783440947532654,4.413955020904541,142433,142433
Standalone_TCN,241.77942504882813,6.451108432298151,321.448715589226,0.8820032715797425,4.5019659996032715,0,44870
Learned_Static_Weights,244.0142852783203,12.57742390050512,332.58726806640624,0.8735206723213196,4.515017700195313,3,139841
Standalone_Patch,263.74439697265626,4.869185421693987,358.5791133650996,0.8532237052917481,4.881832790374756,0,63624
Standalone_GRU,279.6466003417969,8.935489489871381,383.3489052191452,0.8321601986885071,5.1922954559326175,0,31344
