candidate_id,dataset,regime_dimension,regime_bin,n_windows,candidate_mae,v1_mae,delta_mae,pct_delta
F0,PJM,volatility,high,431,263.5715637207031,263.5715637207031,0.0,0.0
F0,PJM,volatility,low,431,209.30789184570312,209.30789184570312,0.0,0.0
F0,PJM,volatility,medium,432,229.6319580078125,229.6319580078125,0.0,0.0
F0,PJM,load_level,normal,432,194.61813354492188,194.61813354492188,0.0,0.0
F0,PJM,load_level,off_peak,431,232.46893310546875,232.46893310546875,0.0,0.0
F0,PJM,load_level,peak,431,275.505615234375,275.505615234375,0.0,0.0
F1,PJM,volatility,high,431,254.43093872070312,263.5715637207031,-9.140625,-3.4679860134707536
F1,PJM,volatility,low,431,208.83871459960938,209.30789184570312,-0.46917724609375,-0.22415649964983236
F1,PJM,volatility,medium,432,233.630859375,229.6319580078125,3.9989013671875,1.741439381724497
F1,PJM,load_level,normal,432,192.92225646972656,194.61813354492188,-1.6958770751953125,-0.8713869748884419
F1,PJM,load_level,off_peak,431,233.0189971923828,232.46893310546875,0.5500640869140625,0.23661832022015644
F1,PJM,load_level,peak,431,271.0537414550781,275.505615234375,-4.451873779296875,-1.6158922058088383
F2,PJM,volatility,high,431,253.07797241210938,263.5715637207031,-10.49359130859375,-3.9813062989983057
F2,PJM,volatility,low,431,198.5482940673828,209.30789184570312,-10.759597778320312,-5.140559981773853
F2,PJM,volatility,medium,432,221.87940979003906,229.6319580078125,-7.7525482177734375,-3.376075460606806
F2,PJM,load_level,normal,432,189.51589965820312,194.61813354492188,-5.10223388671875,-2.6216641623091137
F2,PJM,load_level,off_peak,431,228.3696746826172,232.46893310546875,-4.0992584228515625,-1.7633575164033621
F2,PJM,load_level,peak,431,255.69520568847656,275.505615234375,-19.810409545898438,-7.190564684912104
F3,PJM,volatility,high,431,257.3561096191406,263.5715637207031,-6.2154541015625,-2.358165649678023
F3,PJM,volatility,low,431,204.0408935546875,209.30789184570312,-5.266998291015625,-2.516387805259849
F3,PJM,volatility,medium,432,227.0119171142578,229.6319580078125,-2.6200408935546875,-1.140973976303337
F3,PJM,load_level,normal,432,194.62774658203125,194.61813354492188,0.009613037109375,0.004939435439484245
F3,PJM,load_level,off_peak,431,229.05633544921875,232.46893310546875,-3.41259765625,-1.4679800849010387
F3,PJM,load_level,peak,431,264.79998779296875,275.505615234375,-10.70562744140625,-3.885810963758677
F4,PJM,volatility,high,431,250.16531372070312,263.5715637207031,-13.40625,-5.086379486423772
F4,PJM,volatility,low,431,198.07601928710938,209.30789184570312,-11.23187255859375,-5.366196375056733
F4,PJM,volatility,medium,432,221.5992431640625,229.6319580078125,-8.03271484375,-3.498082269757892
F4,PJM,load_level,normal,432,185.70120239257812,194.61813354492188,-8.91693115234375,-4.581757590675877
F4,PJM,load_level,off_peak,431,231.71559143066406,232.46893310546875,-0.7533416748046875,-0.3240612246550346
F4,PJM,load_level,peak,431,252.50711059570312,275.505615234375,-22.998504638671875,-8.347744395565007
F5,PJM,volatility,high,431,247.8197479248047,263.5715637207031,-15.751815795898438,-5.976295588862192
F5,PJM,volatility,low,431,203.39108276367188,209.30789184570312,-5.91680908203125,-2.826844703077195
F5,PJM,volatility,medium,432,228.04669189453125,229.6319580078125,-1.58526611328125,-0.6903508205612253
F5,PJM,load_level,normal,432,186.82896423339844,194.61813354492188,-7.7891693115234375,-4.002283409887241
F5,PJM,load_level,off_peak,431,232.0165252685547,232.46893310546875,-0.4524078369140625,-0.19461001903540787
F5,PJM,load_level,peak,431,260.5076904296875,275.505615234375,-14.9979248046875,-5.443781876275304
