model,seed,mean_lstm_weight,mean_tcn_weight,mean_cnn_weight,std_lstm_weight,std_tcn_weight,std_cnn_weight,mean_entropy,effective_experts,weight_sum_min,weight_sum_max,weight_min,weight_max
Original_CAEGNet_V1,42,0.389891117811203,0.28588566184043884,0.32422322034835815,0.004934901837259531,0.0035914697218686342,0.0016946158139035106,1.090330958366394,2.950681447982788,0.9999998807907104,1.0000001192092896,0.2817346751689911,0.3942640423774719
Bounded_CAEGNet_rho0.50,42,0.39501118659973145,0.2775610089302063,0.32742786407470703,0.0024157592561095953,0.0011972144711762667,0.0013588524889200926,1.0882129669189453,2.938657283782959,0.9999999403953552,1.0000001192092896,0.2745927572250366,0.4021509885787964
Original_CAEGNet_V1,123,0.39028075337409973,0.29890844225883484,0.31081080436706543,0.0023792104329913855,0.0016466763336211443,0.000998153118416667,1.0913691520690918,2.9561524391174316,0.9999998807907104,1.0000001192092896,0.29501980543136597,0.39433687925338745
Bounded_CAEGNet_rho0.50,123,0.3947227895259857,0.28665077686309814,0.31862643361091614,0.0017732629785314202,0.001161776832304895,0.000627711066044867,1.089508056640625,2.9454894065856934,0.9999999403953552,1.0000001192092896,0.28551632165908813,0.3961613178253174
Original_CAEGNet_V1,999,0.41393208503723145,0.2747073471546173,0.31136056780815125,0.0014037314103916287,0.0013146116398274899,0.00037495637661777437,1.0833364725112915,2.9090676307678223,0.9999998807907104,1.0000001192092896,0.27363258600234985,0.4151792824268341
Bounded_CAEGNet_rho0.50,999,0.3835931420326233,0.27886223793029785,0.33754464983940125,0.0020940685644745827,0.0020407112315297127,0.0002067338500637561,1.0902457237243652,2.951138734817505,0.9999999403953552,1.0000001192092896,0.2741076350212097,0.3888978958129883
Original_CAEGNet_V1,2024,0.34111809730529785,0.3224693536758423,0.33641254901885986,0.0014866638230159879,0.0017982691060751677,0.0009381932322867215,1.098319411277771,2.99825119972229,0.9999998807907104,1.0000001192092896,0.3163129687309265,0.34549781680107117
Bounded_CAEGNet_rho0.50,2024,0.36827898025512695,0.2990720272064209,0.33264899253845215,0.0012394392397254705,0.0022353644017130136,0.002286246046423912,1.0949980020523071,2.9784908294677734,0.9999999403953552,1.0000001192092896,0.29576385021209717,0.370400607585907
Original_CAEGNet_V1,3407,0.3583618700504303,0.3012474775314331,0.3403906226158142,0.0019495744490996003,0.0011068317107856274,0.001087672309949994,1.0960158109664917,2.9846718311309814,0.9999998807907104,1.0000001192092896,0.2995041608810425,0.3616381883621216
Bounded_CAEGNet_rho0.50,3407,0.39340171217918396,0.2841666638851166,0.3224317133426666,0.0027328901924192905,0.002043649787083268,0.0024770882446318865,1.0894732475280762,2.945551633834839,0.9999999403953552,1.0000001192092896,0.2797103524208069,0.395174503326416
