candidate_id,dataset,seed,mean_lambda,std_lambda,median_lambda,min_lambda,max_lambda,pct_5_lambda,pct_95_lambda,frac_lambda_lt_0_1,frac_lambda_gt_0_9
A2_C1_OOF,PJM,42,0.5092198848724365,0.005575965158641338,0.5090530514717102,0.49511027336120605,0.5278258323669434,0.5003247857093811,0.5185878276824951,0.0,0.0
A2_C1_OOF,PJM,123,0.5104014277458191,0.004918229766190052,0.5106250047683716,0.49026358127593994,0.5220506191253662,0.5019047856330872,0.5188230872154236,0.0,0.0
A2_C1_OOF,PJM,999,0.4845336675643921,0.004199647344648838,0.48441675305366516,0.4708436131477356,0.49789637327194214,0.4775004982948303,0.4915968179702759,0.0,0.0
A2_C1_OOF,PJM,2024,0.5385822653770447,0.0015829105395823717,0.5385864973068237,0.5341571569442749,0.5429206490516663,0.5360285043716431,0.5411691665649414,0.0,0.0
A2_C1_OOF,PJM,3407,0.4877294898033142,0.002946262015029788,0.4875432848930359,0.4796035885810852,0.5017218589782715,0.4828304946422577,0.492815226316452,0.0,0.0
A2_C1_OOF,GEFCom,42,0.5128667950630188,0.007860523648560047,0.5129185914993286,0.48665642738342285,0.5394970178604126,0.500203013420105,0.525472104549408,0.0,0.0
A2_C1_OOF,GEFCom,123,0.5266093015670776,0.006344803608953953,0.5273276567459106,0.49970537424087524,0.5404900908470154,0.5154278874397278,0.5351967215538025,0.0,0.0
A2_C1_OOF,GEFCom,999,0.4983178377151489,0.0029759269673377275,0.49859312176704407,0.4751763939857483,0.5076735019683838,0.49289318919181824,0.5026318430900574,0.0,0.0
A2_C1_OOF,GEFCom,2024,0.5332029461860657,0.0021578550804406404,0.5334943532943726,0.5225169658660889,0.5479438304901123,0.5293819904327393,0.5361035466194153,0.0,0.0
A2_C1_OOF,GEFCom,3407,0.5242356657981873,0.0030049867928028107,0.524174690246582,0.4724264442920685,0.5338086485862732,0.5207864046096802,0.52847820520401,0.0,0.0
A2_C1_OOF,UCI,42,0.5273337960243225,0.0038952843751758337,0.5276408195495605,0.5044792890548706,0.5358005166053772,0.5216357111930847,0.532970130443573,0.0,0.0
A2_C1_OOF,UCI,123,0.5029745101928711,0.0030577732250094414,0.5027918815612793,0.4928700029850006,0.5123123526573181,0.4981478154659271,0.5081766247749329,0.0,0.0
A2_C1_OOF,UCI,999,0.510044515132904,0.005071202293038368,0.5105925798416138,0.4729423224925995,0.5197481513023376,0.5025902390480042,0.5165152549743652,0.0,0.0
A2_C1_OOF,UCI,2024,0.5001563429832458,0.0019359198631718755,0.49980297684669495,0.4950254261493683,0.5055136680603027,0.4974387586116791,0.503554105758667,0.0,0.0
A2_C1_OOF,UCI,3407,0.5070735216140747,0.0021554711274802685,0.5071927309036255,0.49954038858413696,0.5134798288345337,0.5033595561981201,0.510451078414917,0.0,0.0
A3_Confidence_Only,PJM,42,0.49312466382980347,0.005423948168754578,0.4916629195213318,0.48440733551979065,0.5167626142501831,0.48683005571365356,0.5046139359474182,0.0,0.0
A3_Confidence_Only,PJM,123,0.5160607099533081,0.003835245268419385,0.5164492726325989,0.5052087903022766,0.5252957940101624,0.5089584589004517,0.5222464799880981,0.0,0.0
A3_Confidence_Only,PJM,999,0.5137735605239868,0.0018310321029275656,0.5137310028076172,0.5087950825691223,0.5176795721054077,0.5107365250587463,0.5167536735534668,0.0,0.0
A3_Confidence_Only,PJM,2024,0.5108609795570374,0.003177965059876442,0.5119199752807617,0.49540069699287415,0.5152997374534607,0.5042089223861694,0.5141571760177612,0.0,0.0
A3_Confidence_Only,PJM,3407,0.4836907982826233,0.00401349226012826,0.48262763023376465,0.47832000255584717,0.4987548589706421,0.47941794991493225,0.4927908480167389,0.0,0.0
A3_Confidence_Only,GEFCom,42,0.49220070242881775,0.006795015651732683,0.4917675256729126,0.47404491901397705,0.5592306852340698,0.4821235239505768,0.5033851861953735,0.0,0.0
A3_Confidence_Only,GEFCom,123,0.5360771417617798,0.009593697264790535,0.5367947816848755,0.5049813985824585,0.5565418004989624,0.5195377469062805,0.5514391660690308,0.0,0.0
A3_Confidence_Only,GEFCom,999,0.5311055183410645,0.008634177036583424,0.533113956451416,0.49688664078712463,0.5433760285377502,0.5139849185943604,0.5410758852958679,0.0,0.0
A3_Confidence_Only,GEFCom,2024,0.519931435585022,0.006142271216958761,0.5209875106811523,0.46725091338157654,0.529766857624054,0.5092214345932007,0.5279455184936523,0.0,0.0
A3_Confidence_Only,GEFCom,3407,0.5123810172080994,0.0022593154571950436,0.5122925639152527,0.5058489441871643,0.5570334196090698,0.5091723203659058,0.5157904624938965,0.0,0.0
A3_Confidence_Only,UCI,42,0.5009998083114624,0.00554816797375679,0.5029262900352478,0.490908145904541,0.5089064240455627,0.49202674627304077,0.5070663690567017,0.0,0.0
A3_Confidence_Only,UCI,123,0.5087975859642029,0.005208849441260099,0.5094711780548096,0.47992247343063354,0.5165591239929199,0.502526581287384,0.5154253244400024,0.0,0.0
A3_Confidence_Only,UCI,999,0.5209822058677673,0.0045904191210865974,0.5219945311546326,0.48694583773612976,0.5253958702087402,0.5141881704330444,0.5249689221382141,0.0,0.0
A3_Confidence_Only,UCI,2024,0.4912392199039459,0.0008130412898026407,0.4913126230239868,0.4835287034511566,0.49331310391426086,0.4902662932872772,0.49227046966552734,0.0,0.0
A3_Confidence_Only,UCI,3407,0.5003170371055603,0.0008105659508146346,0.5001733303070068,0.4983373284339905,0.5074045062065125,0.49965062737464905,0.5012591481208801,0.0,0.0
