comparison_id,model_1,model_2,description,mean_paired_diff_mw,ci_95_lower_mw,ci_95_upper_mw,cohens_d,t_statistic,p_value_t,wilcoxon_stat,p_value_wilcoxon,dm_hln_stat,p_value_dm_hln,p_value_holm_bonferroni,statistically_significant
B1,Original_CAEGNet_V1,Naive-24,CAEG V1 vs Naive-24,-34.75259017944336,-73.52338139815106,4.0182010392643335,-0.24706744160213034,-1.7986782789230347,0.07787464559078217,543.0,0.12673568725585938,-1.7986782789230347,0.07787464559078217,0.31149858236312866,False
B2,Original_CAEGNet_V1,Seasonal_Naive-168,CAEG V1 vs Seasonal Naive-168,-389.77947998046875,-525.0150607303203,-254.54389923061723,-0.7944398205473144,-5.783609390258789,4.2201324390589434e-07,146.0,4.615364446181047e-07,-5.783609390258789,4.2201324390589434e-07,2.532079463435366e-06,True
B3,Original_CAEGNet_V1,Ridge_Regression,CAEG V1 vs Ridge Regression,28.721683502197266,3.248277357733791,54.19508964666074,0.3107820129888162,2.2625272274017334,0.02786960080265999,415.0,0.007808130234479904,2.2625272274017334,0.02786960080265999,0.13934800401329994,False
B4,Original_CAEGNet_V1,Standalone_GRU,CAEG V1 vs Standalone GRU,-19.184335708618164,-45.68393814119176,7.315266723955432,-0.19954479794072275,-1.4527080059051514,0.15231288969516754,559.0,0.16591253876686096,-1.4527080059051514,0.15231288969516754,0.4569386690855026,False
B5,Original_CAEGNet_V1,Standalone_TCN,CAEG V1 vs Standalone TCN,1.3032480478286743,-19.63180939705927,22.23830549271662,0.0171587611656188,0.1249176710844039,0.9010703563690186,668.0,0.6741155982017517,0.1249176710844039,0.9010703563690186,0.9010703563690186,False
B6,Original_CAEGNet_V1,Static_Equal_Ensemble,CAEG V1 vs Static Equal Ensemble,-14.75864028930664,-39.34694987463444,9.82966929602116,-0.1654438692585591,-1.2044495344161987,0.2338694483041763,573.0,0.2071219384670257,-1.2044495344161987,0.2338694483041763,0.4677388966083526,False
