seed,lambda_aux,fused_mae_mw,patch_mae_mw,tcn_mae_mw,gru_mae_mw,delta_vs_full_fused_mw
42,0.0,259.181884765625,501.9981384277344,617.0087280273438,724.158447265625,12.57855224609375
43,0.0,260.3438415527344,474.0439147949219,942.4636840820312,715.4595336914062,19.765975952148438
