dataset,unit,n_test_windows,k_daily_blocks,overall_caeg_mae,overall_equal_mae,overall_lstm_mae,overall_tcn_mae,overall_cnn_mae,overall_delta_equal,relative_pct_delta_equal,caeg_win_rate_equal,caeg_win_rate_best_expert,mean_routing_entropy,mean_effective_experts
PJM,MW,1294,53,266.5754089355469,279.8281555175781,287.83941650390625,259.326416015625,411.97125244140625,-13.252737998962402,-4.736027717590332,0.6043276661514683,0.4134466769706337,1.0771288871765137,2.936239004135132
GEFCom,kW,10944,456,12.986836433410645,12.624821662902832,13.330460548400879,12.572885513305664,14.329641342163086,0.36201441287994385,2.8674814701080322,0.4502923976608187,0.22916666666666666,1.072447657585144,2.922708034515381
UCI,MW,3922,163,8.054206848144531,8.16745376586914,7.794469833374023,8.574979782104492,11.658134460449219,-0.11324798315763474,-1.3865762948989868,0.5731769505354412,0.38908720040795514,1.054772138595581,2.8723514080047607
