regime_type,regime_level,v2_mae_mw_mean,v2_mae_mw_std,equal_ens_mae_mw_mean,equal_ens_mae_mw_std,patch_mae_mw_mean,patch_mae_mw_std,gain_vs_equal_mw_mean,gain_vs_equal_mw_std,gain_vs_patch_mw_mean,gain_vs_patch_mw_std
Baseline_Error,High,295.22959594726564,11.104595466350204,289.9123840332031,2.643663153045532,318.0172546386719,12.419211270884738,-5.3172119140625,13.204420378665066,22.78765869140625,18.006452769061564
Baseline_Error,Low,220.03610534667968,3.914119141006682,209.18794860839844,3.265960344708025,234.3770751953125,9.764457598164112,-10.84815673828125,4.109902644337141,14.340969848632813,7.438058783153798
Baseline_Error,Medium,216.0630310058594,3.4771445701477535,209.0941650390625,4.203109320174031,233.12633056640624,9.451384124482068,-6.968865966796875,3.91311208388333,17.063299560546874,8.841276982082592
Disagreement,High,306.4019836425781,20.83114653688877,306.4743408203125,8.62849509382445,335.0711669921875,24.18366952117157,0.072357177734375,16.590619738307367,28.669183349609376,23.17103187094593
Disagreement,Low,201.8857666015625,14.189521092775019,185.62809143066406,5.12619838583475,214.75477905273436,9.376101501212709,-16.257675170898438,14.250748545658018,12.869012451171875,12.404825836486385
Disagreement,Medium,223.02484130859375,14.44799848018935,216.07587585449218,10.191009822892507,235.68877258300782,15.920122146098482,-6.948965454101563,5.385843200112429,12.663931274414063,7.941272756100537
Volatility,High,281.24261474609375,9.013886913671962,267.78510131835935,9.931520030917424,305.3112731933594,25.41684263166097,-13.457513427734375,17.252601086719107,24.068658447265626,28.569387818748858
Volatility,Low,211.25289611816407,9.15034217655873,206.97952880859376,5.329906111449314,224.71114501953124,3.596793033738806,-4.273367309570313,13.660275929430625,13.458248901367188,11.44508285535885
Volatility,Medium,238.78050842285157,6.31011238846389,233.37354736328126,2.3633571938753595,255.44644165039062,5.764287682796437,-5.406961059570312,8.175595352807964,16.665933227539064,10.35843736887799
