Ablation_ID,Ablation_Name,Test_MAE_MW,Test_RMSE_MW,Test_R2,Test_MAPE_pct,Best_Epoch,Total_Epochs,Best_Val_Fused_MSE,Training_Time_s,w_GRU_mean,w_TCN_mean,w_Patch_mean,w_GRU_std,w_TCN_std,w_Patch_std,Mean_Entropy,Mean_N_eff,GRU_MAE_MW,TCN_MAE_MW,Patch_MAE_MW,Equal_Ensemble_MAE_MW,Delta_vs_Full_MAE
A11_Full_V2,Full Proposed CAEG-Net V2,249.6827392578125,337.578369140625,0.8699347972869873,4.627764701843262,12,19,0.4150422187078567,22.0,0.10600807517766953,0.2521006762981415,0.6418911814689636,0.024921884760260582,0.010293212719261646,0.034970130771398544,0.865693986415863,2.3802783489227295,316.984375,285.2559814453125,301.2394104003906,243.61322021484375,0.0
A4_No_Physical_Context,No Physical Context (Type A Removed),256.90008544921875,351.5155029296875,0.8589734435081482,4.727232456207275,3,10,0.4371237712247031,11.25,0.09198245406150818,0.29505205154418945,0.6129651069641113,0.003936651162803173,0.010385677218437195,0.009955421090126038,0.8792944550514221,2.4092907905578613,614.0642700195312,330.6894226074219,290.7574157714844,318.3206481933594,7.22
A6_No_Recent_Error,No Recent Error Feedback (Type B Removed),245.58416748046875,342.5403137207031,0.8660830855369568,4.4887566566467285,5,12,0.46194658960614887,14.33,0.08428695797920227,0.27517184615135193,0.6405408382415771,0.005780940409749746,0.004430264700204134,0.006805911660194397,0.848604142665863,2.3365554809570312,425.2688903808594,286.0507507324219,276.3778991699219,276.365478515625,-4.1
A7_No_Disagreement,No Forecast Difficulty (Type C Removed),262.6781311035156,359.6529846191406,0.8523684144020081,4.827428817749023,3,10,0.4683768862769717,11.99,0.12066075205802917,0.2647835910320282,0.6145554184913635,0.001897067530080676,0.0018700531218200922,0.0034504984505474567,0.9061945080757141,2.474909543991089,585.91796875,335.3511962890625,297.75115966796875,315.59320068359375,13.0
A5a_No_Weekly_Profile,No Weekly Profile Similarity,260.3771057128906,356.4441223144531,0.8549910187721252,4.782223224639893,3,10,0.45427135520038153,13.07,0.0803074762225151,0.2888258695602417,0.630866527557373,0.008954761549830437,0.0060751899145543575,0.008764412254095078,0.8512097001075745,2.3428409099578857,578.5782470703125,340.3417663574219,293.1812744140625,321.92877197265625,10.69
A5b_No_Diurnal_Periodicity,No Diurnal Rhythmicity,261.4992980957031,356.0088195800781,0.8553450107574463,4.799546718597412,3,10,0.45914256821076077,13.52,0.08618566393852234,0.29874372482299805,0.6150702834129333,0.010547146201133728,0.0034300426486879587,0.008148371241986752,0.8703852891921997,2.388286828994751,586.1558227539062,336.7907409667969,294.2571716308594,320.36920166015625,11.82
A5c_No_Trend_Slope,No Trend Slope,260.41650390625,357.3887634277344,0.8542214035987854,4.774778842926025,3,10,0.45895175600335714,15.06,0.0735800638794899,0.29350903630256653,0.6329107880592346,0.008442179299890995,0.0042215026915073395,0.012483004480600357,0.8406637907028198,2.318432092666626,599.205322265625,326.8149719238281,292.6929931640625,325.2652587890625,10.73
A5d_No_Volatility,No Short-Term Volatility,262.3564453125,357.8178405761719,0.8538711667060852,4.822311878204346,3,10,0.4550303163982573,17.37,0.07976137101650238,0.2948053479194641,0.6254338622093201,0.008725577034056187,0.0025392284151166677,0.007369553204625845,0.8547661304473877,2.3511626720428467,599.1976928710938,331.14007568359375,297.4242858886719,324.073486328125,12.67
A5e_No_Range_Ratio,No Recent 48h Range Ratio,259.3763732910156,353.8349914550781,0.8571061491966248,4.765232086181641,3,10,0.44701527271951946,20.61,0.10307923704385757,0.29676538705825806,0.6001554131507874,0.0017242912435904145,0.008820055052638054,0.009851583279669285,0.9009292721748352,2.461980104446411,613.5919799804688,325.2423095703125,295.7332458496094,317.7832336425781,9.69
A4b_No_Context_At_All,No Context At All (Zero Context),262.97119140625,361.47821044921875,0.8508661389350891,4.823757648468018,3,10,0.47584521770477295,14.92,0.10050152987241745,0.2732347846031189,0.6262663006782532,6.183981895446777e-07,3.1888484954833984e-06,5.185604095458984e-06,0.8784946799278259,2.407273054122925,610.012939453125,334.1887512207031,293.1264343261719,326.8384094238281,13.29
A8_No_Auxiliary_Loss,No Auxiliary Expert Loss (lambda=0),257.9039306640625,347.1262512207031,0.8624733686447144,4.792534351348877,3,10,0.4074571437778927,11.99,0.30431902408599854,0.23834151029586792,0.45733991265296936,0.01201395969837904,0.009227631613612175,0.020834164693951607,1.0607370138168335,2.888744354248047,720.822265625,608.6677856445312,501.96478271484375,296.57244873046875,8.22
