dataset,regime_category,regime_name,n_windows,mae_caeg,mae_equal,mae_best_expert,delta_equal,delta_best_expert,caeg_win_rate_equal,caeg_win_rate_best
PJM,Volatility,high,1175,271.95654296875,284.7225036621094,231.84600830078125,-12.76598834991455,40.11053466796875,0.6059574468085106,0.4102127659574468
PJM,Volatility,low,11,159.0654296875,147.38143920898438,149.20274353027344,11.683993339538574,9.86269474029541,0.45454545454545453,0.36363636363636365
PJM,Volatility,medium,108,218.9807891845703,240.06906127929688,197.5583038330078,-21.088247299194336,21.422473907470703,0.6018518518518519,0.4537037037037037
PJM,Ramp_Magnitude,high,337,327.79864501953125,356.02984619140625,288.1877746582031,-28.23122215270996,39.610862731933594,0.6379821958456974,0.4035608308605341
PJM,Ramp_Magnitude,low,494,229.17987060546875,240.7164764404297,196.37576293945312,-11.536612510681152,32.80412292480469,0.5890688259109311,0.4008097165991903
PJM,Ramp_Magnitude,medium,463,261.91265869140625,266.09417724609375,218.7206573486328,-4.181504726409912,43.19200897216797,0.5961123110151187,0.43412526997840173
PJM,Trend_Slope,high,277,346.7413024902344,354.8772277832031,280.8487854003906,-8.135909080505371,65.89257049560547,0.6787003610108303,0.4187725631768953
PJM,Trend_Slope,low,476,226.47344970703125,257.1689758300781,211.15203857421875,-30.695533752441406,15.321419715881348,0.6197478991596639,0.4726890756302521
PJM,Trend_Slope,medium,541,260.8130187988281,261.3385925292969,216.43824768066406,-0.5255512595176697,44.374786376953125,0.5526802218114603,0.3585951940850277
PJM,Expert_Disagreement,high,192,356.6516418457031,371.4942626953125,274.8588562011719,-14.842602729797363,81.79283905029297,0.5885416666666666,0.34375
PJM,Expert_Disagreement,low,828,242.29156494140625,249.6613006591797,212.62635803222656,-7.369726657867432,29.665220260620117,0.5917874396135265,0.4178743961352657
PJM,Expert_Disagreement,medium,274,276.8394470214844,306.7559814453125,242.95269775390625,-29.916536331176758,33.886756896972656,0.6532846715328468,0.4489051094890511
PJM,Load_Level,normal,410,266.8162841796875,293.7214050292969,242.41921997070312,-26.905141830444336,24.39704132080078,0.6439024390243903,0.44878048780487806
PJM,Load_Level,off_peak,625,225.6230010986328,251.13600158691406,211.74392700195312,-25.513017654418945,13.879060745239258,0.6304,0.4528
PJM,Load_Level,peak,259,365.0174865722656,327.07269287109375,245.809814453125,37.944793701171875,119.20771026611328,0.47876447876447875,0.2625482625482625
PJM,Diurnal,afternoon,324,260.5593566894531,277.7265625,219.4785919189453,-17.167171478271484,41.080780029296875,0.6759259259259259,0.43209876543209874
PJM,Diurnal,evening,322,299.1947937011719,267.0525817871094,226.77593994140625,32.142173767089844,72.41881561279297,0.45652173913043476,0.2888198757763975
PJM,Diurnal,morning,324,248.2124786376953,299.9826354980469,237.77642822265625,-51.77017593383789,10.43603515625,0.7376543209876543,0.5061728395061729
PJM,Diurnal,night,324,258.536376953125,274.471923828125,229.0867156982422,-15.935562133789062,29.44965934753418,0.5462962962962963,0.42592592592592593
PJM,Weekend_Weekday,0,958,264.94061279296875,281.7564697265625,227.96832275390625,-16.815876007080078,36.97225570678711,0.6377870563674322,0.4290187891440501
