horizon_step,standalone_gru_mae,standalone_tcn_mae,standalone_patch_mae,standalone_gru_rmse,standalone_tcn_rmse,standalone_patch_rmse,equal_ensemble_mae,equal_ensemble_rmse,v2_fused_mae,v2_fused_rmse,v2_minus_equal_mae,oracle_standalone_mae,oracle_internal_mae,internal_gru_mae,internal_tcn_mae,internal_patch_mae,router_w_gru,router_w_tcn,router_w_patch,pct_standalone_best_tcn,pct_standalone_best_patch,pct_standalone_best_gru,pct_internal_best_tcn,pct_internal_best_patch,pct_internal_best_gru
1,122.765869140625,126.41581726074219,143.8778076171875,159.99560546875,158.86370849609375,199.58824157714844,103.84928894042969,137.97140502929688,145.27247619628906,189.4558563232422,41.423187255859375,59.5921745300293,94.06938171386719,251.93563842773438,225.33810424804688,194.7582244873047,0.06331130117177963,0.28525349497795105,0.651435136795044,33.84853168469861,31.31375579598145,34.837712519319936,33.21483771251932,39.07264296754251,27.712519319938178
2,141.41885375976562,140.47329711914062,157.75741577148438,183.46820068359375,177.23373413085938,214.8276824951172,122.365966796875,160.48141479492188,157.88424682617188,206.71273803710938,35.518280029296875,70.40430450439453,100.43067932128906,354.49468994140625,206.4259796142578,203.06600952148438,0.06331130117177963,0.28525349497795105,0.651435136795044,33.83307573415765,31.391035548686247,34.77588871715611,39.134466769706336,42.024729520865534,18.84080370942813
3,176.31272888183594,166.61207580566406,179.1204071044922,228.5975799560547,212.6458282470703,240.0720672607422,148.98690795898438,196.16720581054688,183.3035430908203,241.7208709716797,34.31663513183594,90.11541748046875,115.46085357666016,482.92315673828125,224.37875366210938,229.987548828125,0.06331130117177963,0.28525349497795105,0.651435136795044,35.85780525502319,31.839258114374037,32.30293663060278,41.80834621329212,43.04482225656878,15.146831530139105
4,214.4781036376953,194.93580627441406,200.72918701171875,280.7892761230469,251.559326171875,267.29412841796875,176.78526306152344,234.93209838867188,201.6321258544922,269.06463623046875,24.84686279296875,108.65153503417969,126.0990982055664,572.1640014648438,239.55191040039062,245.1642608642578,0.06331130117177963,0.28525349497795105,0.651435136795044,33.97217928902628,34.88408037094281,31.143740340030913,42.024729520865534,43.40030911901082,14.574961360123648
5,251.79251098632812,217.74337768554688,220.19717407226562,332.0671691894531,284.26068115234375,292.8370666503906,200.86282348632812,269.3534851074219,216.79379272460938,288.2505187988281,15.93096923828125,125.1222152709961,136.03018188476562,623.324951171875,265.9681091308594,248.42306518554688,0.06331130117177963,0.28525349497795105,0.651435136795044,33.508500772797525,37.35703245749614,29.134466769706336,39.56723338485317,46.0741885625966,14.35857805255023
6,280.0157775878906,243.01602172851562,235.73025512695312,371.432861328125,318.51580810546875,312.785888671875,222.594970703125,298.4578552246094,236.1872100830078,311.49822998046875,13.592239379882812,137.98941040039062,150.00454711914062,676.1688842773438,291.4867248535156,271.1913757324219,0.06331130117177963,0.28525349497795105,0.651435136795044,33.183925811437405,37.418856259659975,29.397217928902624,40.5564142194745,45.332302936630605,14.111282843894898
7,298.1638488769531,251.8629913330078,248.60635375976562,395.30487060546875,329.4593200683594,331.5289001464844,236.7935333251953,317.0995178222656,248.5954132080078,327.845703125,11.8018798828125,148.33609008789062,155.19155883789062,698.2369995117188,305.28607177734375,273.507080078125,0.06331130117177963,0.28525349497795105,0.651435136795044,33.98763523956723,37.0015455950541,29.01081916537867,37.727975270479135,48.43894899536321,13.833075734157651
8,310.8687438964844,265.23016357421875,260.31634521484375,414.9246520996094,346.2226867675781,349.014404296875,249.0033416748047,332.9825134277344,253.28506469726562,336.33404541015625,4.2817230224609375,154.736083984375,156.65921020507812,668.7013549804688,332.433349609375,274.58050537109375,0.06331130117177963,0.28525349497795105,0.651435136795044,33.38485316846986,36.27511591962906,30.340030911901085,35.93508500772798,48.809891808346215,15.255023183925811
9,317.107666015625,271.5923767089844,268.35015869140625,424.5843200683594,353.9528503417969,359.399169921875,255.5832977294922,341.0148620605469,257.1878356933594,341.16064453125,1.6045379638671875,157.2898406982422,159.694091796875,677.7221069335938,334.63800048828125,274.92279052734375,0.06331130117177963,0.28525349497795105,0.651435136795044,33.276661514683155,36.42967542503864,30.29366306027821,36.08964451313756,49.876352395672335,14.034003091190108
10,320.28326416015625,274.30987548828125,272.5081787109375,431.438720703125,356.4023742675781,365.259033203125,260.1910400390625,346.91326904296875,260.3238830566406,346.0467529296875,0.132843017578125,159.7136993408203,162.2347412109375,642.051513671875,346.5152587890625,280.91864013671875,0.06331130117177963,0.28525349497795105,0.651435136795044,33.64760432766615,36.414219474497685,29.93817619783617,35.19319938176198,49.876352395672335,14.930448222565687
