horizon_step,standalone_gru_mae,standalone_tcn_mae,standalone_patch_mae,standalone_gru_rmse,standalone_tcn_rmse,standalone_patch_rmse,equal_ensemble_mae,equal_ensemble_rmse,v2_fused_mae,v2_fused_rmse,v2_minus_equal_mae,oracle_standalone_mae,oracle_internal_mae,internal_gru_mae,internal_tcn_mae,internal_patch_mae,router_w_gru,router_w_tcn,router_w_patch,pct_standalone_best_tcn,pct_standalone_best_patch,pct_standalone_best_gru,pct_internal_best_tcn,pct_internal_best_patch,pct_internal_best_gru
11,319.8072814941406,273.0469665527344,277.30511474609375,431.73736572265625,357.9466857910156,369.44561767578125,262.0199890136719,348.96905517578125,266.23870849609375,352.8134460449219,4.218719482421875,159.66714477539062,163.1815948486328,624.8927612304688,331.56036376953125,280.51568603515625,0.06331130117177963,0.28525349497795105,0.651435136795044,34.04945904173107,34.99227202472952,30.95826893353941,35.44049459041731,48.809891808346215,15.749613601236476
12,319.72650146484375,275.3485412597656,281.28448486328125,431.49066162109375,358.98419189453125,373.0633544921875,263.3804626464844,351.03607177734375,265.4295654296875,353.976318359375,2.049102783203125,163.3150634765625,163.4012451171875,592.8284301757812,356.2943420410156,284.268310546875,0.06331130117177963,0.28525349497795105,0.651435136795044,34.82225656877898,34.79134466769707,30.386398763523957,32.41112828438949,50.17001545595055,17.418856259659968
13,317.9556579589844,275.3253173828125,288.49407958984375,431.8828125,360.1600341796875,379.2775573730469,265.296630859375,354.3755798339844,267.3474426269531,356.54168701171875,2.050811767578125,166.45858764648438,163.94680786132812,534.546875,356.4034423828125,291.05474853515625,0.06331130117177963,0.28525349497795105,0.651435136795044,35.1468315301391,33.5548686244204,31.298299845440496,31.808346213292115,48.99536321483771,19.19629057187017
14,313.466064453125,276.8586730957031,297.2720947265625,426.5137634277344,362.49212646484375,389.0033874511719,266.93450927734375,356.33807373046875,267.13836669921875,357.04217529296875,0.203857421875,168.9912872314453,159.74520874023438,480.06793212890625,334.2679138183594,293.3088684082031,0.06331130117177963,0.28525349497795105,0.651435136795044,34.80680061823802,32.13292117465224,33.06027820710974,34.08037094281298,44.62132921174653,21.298299845440493
15,308.79400634765625,277.2690734863281,302.2476501464844,420.69769287109375,363.85382080078125,396.2383117675781,267.1022033691406,357.7684020996094,271.9484558105469,364.4141845703125,4.84625244140625,170.635986328125,163.95127868652344,451.82763671875,342.5452880859375,296.2869873046875,0.06331130117177963,0.28525349497795105,0.651435136795044,35.87326120556414,31.530139103554866,32.59659969088099,33.523956723338486,43.601236476043276,22.874806800618238
16,305.07733154296875,275.72503662109375,302.8809509277344,415.50103759765625,361.3988952636719,399.50714111328125,266.5393981933594,357.5053405761719,271.73577880859375,363.7443542480469,5.196380615234375,170.54881286621094,165.23681640625,425.72705078125,338.042724609375,299.902099609375,0.06331130117177963,0.28525349497795105,0.651435136795044,36.04327666151468,31.34466769706337,32.61205564142195,33.47758887171561,42.53477588871716,23.987635239567233
17,304.81719970703125,279.3750305175781,307.0835876464844,412.63763427734375,365.5519714355469,407.2808837890625,268.4732360839844,360.34771728515625,271.38592529296875,363.53509521484375,2.912689208984375,172.58277893066406,162.99691772460938,398.17669677734375,331.0447998046875,306.4881896972656,0.06331130117177963,0.28525349497795105,0.651435136795044,34.91499227202473,31.468315301391037,33.61669242658423,33.663060278207105,40.5564142194745,25.78052550231839
18,303.576171875,279.2545471191406,309.94500732421875,408.4745788574219,366.1208801269531,412.60760498046875,269.46142578125,360.94158935546875,272.363525390625,366.41259765625,2.902099609375,173.5110321044922,160.92063903808594,382.5248107910156,328.493896484375,309.7650451660156,0.06331130117177963,0.28525349497795105,0.651435136795044,36.38330757341576,30.216383307573413,33.40030911901082,34.28129829984544,38.74806800618238,26.97063369397218
19,303.7189025878906,280.04559326171875,310.9729309082031,407.676025390625,365.1821594238281,415.527099609375,271.2151184082031,362.37957763671875,268.5113830566406,364.2469787597656,-2.7037353515625,176.19244384765625,159.5249786376953,392.86248779296875,337.84930419921875,312.1105041503906,0.06331130117177963,0.28525349497795105,0.651435136795044,35.81143740340031,31.020092735703248,33.168469860896444,33.292117465224116,40.15455950540958,26.553323029366304
20,301.8650817871094,276.5646057128906,306.2784118652344,405.1756896972656,361.1805114746094,411.50604248046875,269.2384948730469,360.314697265625,267.9441833496094,363.17529296875,-1.2943115234375,174.4630889892578,161.09854125976562,386.4713439941406,333.3634033203125,308.54876708984375,0.06331130117177963,0.28525349497795105,0.651435136795044,35.27047913446677,31.530139103554866,33.199381761978366,34.095826893353944,39.73724884080371,26.16692426584235
21,300.2564392089844,273.29852294921875,303.51763916015625,402.785400390625,356.8489685058594,409.39923095703125,266.73980712890625,357.79058837890625,266.7114562988281,365.3081970214844,-0.028350830078125,173.23916625976562,156.807861328125,348.82696533203125,348.81121826171875,308.5067443847656,0.06331130117177963,0.28525349497795105,0.651435136795044,34.86862442040186,32.58114374034003,32.55023183925812,31.468315301391037,39.67542503863988,28.856259659969087
22,296.75958251953125,267.5279846191406,300.1640625,398.6270446777344,351.8363952636719,406.34368896484375,262.87518310546875,354.50189208984375,270.20245361328125,373.7258605957031,7.3272705078125,172.77333068847656,160.93228149414062,318.1416931152344,362.07000732421875,306.1390380859375,0.06331130117177963,0.28525349497795105,0.651435136795044,34.8531684698609,33.091190108191654,32.05564142194745,29.84544049459042,37.75888717156105,32.39567233384853
23,291.3965759277344,266.9764099121094,298.33367919921875,394.2264709472656,351.3912353515625,405.74285888671875,260.27093505859375,354.3184509277344,270.3716125488281,373.4788818359375,10.100677490234375,172.99786376953125,165.92520141601562,308.77337646484375,343.63677978515625,314.59967041015625,0.06331130117177963,0.28525349497795105,0.651435136795044,35.17774343122102,33.570324574961354,31.25193199381762,30.44822256568779,36.646058732612055,32.90571870170015
24,291.09429931640625,272.9686584472656,298.786376953125,394.66650390625,362.1493835449219,408.67364501953125,262.65911865234375,360.7510681152344,274.3040466308594,380.43988037109375,11.644927978515625,176.39773559570312,168.91162109375,324.97735595703125,331.4613037109375,312.1981506347656,0.06331130117177963,0.28525349497795105,0.651435136795044,34.38948995363214,32.8129829984544,32.79752704791344,32.45749613601237,37.063369397217926,30.479134466769708
