finalist_id,dataset,seed,mean_w_lstm,mean_w_tcn,mean_w_cnn,mean_entropy,effective_n_experts
A0_Canonical_V1,PJM,42,0.4247583746910095,0.2928960621356964,0.28234562277793884,1.080380916595459,2.945802927017212
A0_Canonical_V1,PJM,123,0.363840788602829,0.27605539560317993,0.3601038455963135,1.0909357070922852,2.9770588874816895
A0_Canonical_V1,PJM,999,0.36294904351234436,0.2950669825077057,0.34198397397994995,1.0949326753616333,2.9889814853668213
A0_Canonical_V1,PJM,2024,0.38843226432800293,0.3007293939590454,0.3108383119106293,1.091854453086853,2.97979474067688
A0_Canonical_V1,PJM,3407,0.4026924967765808,0.2803695797920227,0.31693795323371887,1.0869801044464111,2.965306043624878
A0_Canonical_V1,GEFCom,42,0.43480369448661804,0.2809891402721405,0.28420719504356384,1.0751179456710815,2.930459499359131
A0_Canonical_V1,GEFCom,123,0.4213162362575531,0.2511717975139618,0.3275119960308075,1.0761101245880127,2.9332938194274902
A0_Canonical_V1,GEFCom,999,0.39723214507102966,0.24076910316944122,0.3619987666606903,1.076169729232788,2.9334912300109863
A0_Canonical_V1,GEFCom,2024,0.3620886504650116,0.26368165016174316,0.37422966957092285,1.0834788084030151,2.954969644546509
A0_Canonical_V1,GEFCom,3407,0.43175533413887024,0.2649911642074585,0.30325353145599365,1.0756704807281494,2.9320178031921387
A0_Canonical_V1,UCI,42,0.5006242990493774,0.18600144982337952,0.31337422132492065,1.0200510025024414,2.774104356765747
A0_Canonical_V1,UCI,123,0.4582107961177826,0.18132218718528748,0.36046701669692993,1.0344018936157227,2.8134775161743164
A0_Canonical_V1,UCI,999,0.45132744312286377,0.17354778945446014,0.3751247823238373,1.0300233364105225,2.8012876510620117
A0_Canonical_V1,UCI,2024,0.4231792390346527,0.22272233664989471,0.35409843921661377,1.065308928489685,2.901749610900879
A0_Canonical_V1,UCI,3407,0.5125637054443359,0.17905868589878082,0.3083776533603668,1.0117512941360474,2.750656843185425
B1_Zero_Recent_Error_3D,PJM,42,0.42546021938323975,0.26867732405662537,0.3058623969554901,1.079016923904419,2.9417872428894043
B1_Zero_Recent_Error_3D,PJM,123,0.3799736797809601,0.2763129770755768,0.34371331334114075,1.090149164199829,2.9747180938720703
B1_Zero_Recent_Error_3D,PJM,999,0.3148888349533081,0.32963815331459045,0.35547298192977905,1.0973454713821411,2.996201992034912
B1_Zero_Recent_Error_3D,PJM,2024,0.39853182435035706,0.2801089584827423,0.32135918736457825,1.0878627300262451,2.967923879623413
B1_Zero_Recent_Error_3D,PJM,3407,0.4156535565853119,0.2847665250301361,0.2995798885822296,1.083687663078308,2.9555587768554688
B1_Zero_Recent_Error_3D,GEFCom,42,0.4163362681865692,0.242726668715477,0.3409370481967926,1.0735139846801758,2.92573618888855
B1_Zero_Recent_Error_3D,GEFCom,123,0.41163399815559387,0.2439296394586563,0.344436377286911,1.0755565166473389,2.931645154953003
B1_Zero_Recent_Error_3D,GEFCom,999,0.3530876338481903,0.2892562747001648,0.3576560616493225,1.0937349796295166,2.985405206680298
B1_Zero_Recent_Error_3D,GEFCom,2024,0.4146032929420471,0.28485432267189026,0.3005423843860626,1.0837898254394531,2.9558753967285156
B1_Zero_Recent_Error_3D,GEFCom,3407,0.42510759830474854,0.2505734860897064,0.32431891560554504,1.0743738412857056,2.9282243251800537
