Model,MAE (MW),RMSE (MW),R^2,MAPE (%),MAE Mean,MAE Std,RMSE Mean,RMSE Std,R2 Mean,R2 Std,Params,Avg Train Time (s)
Persistence_Naive24,285.19 ± 0.00,388.86 ± 0.00,0.8274 ± 0.0000,5.31 ± 0.00,285.19,0.0,388.86,0.0,0.8274000000000001,1.2412670766236366e-16,0,0.0
LSTM_Standalone,301.45 ± 19.17,414.81 ± 21.86,0.8032 ± 0.0204,5.57 ± 0.38,301.45,19.1719339139274,414.81399999999996,21.86171493730534,0.8031600000000001,0.020390022069630042,"56,152",90.4
TCN_Standalone,259.86 ± 8.54,351.37 ± 11.19,0.8590 ± 0.0089,4.80 ± 0.16,259.86199999999997,8.543797165195345,351.368,11.194984144696242,0.8589600000000001,0.008917566932745714,"36,952",108.5
CNN_Standalone,469.53 ± 58.34,628.85 ± 61.63,0.5452 ± 0.0896,8.85 ± 1.24,469.534,58.34472152645858,628.85,61.63345560651289,0.54518,0.08955270515177083,"27,400",18.5
Static_Equal_Ensemble,295.48 ± 15.54,404.24 ± 14.61,0.8133 ± 0.0136,5.48 ± 0.33,295.48400000000004,15.540263189534482,404.244,14.60930285811065,0.81332,0.013577996906760603,"120,504",217.4
Standard_Input_MoE,276.30 ± 13.64,370.01 ± 17.26,0.8435 ± 0.0145,5.15 ± 0.24,276.30400000000003,13.636048914549995,370.006,17.264739499917162,0.84346,0.01453798472966594,"126,011",186.8
CAEG_Net_No_Recent_Error,254.55 ± 16.10,339.43 ± 19.53,0.8682 ± 0.0152,4.75 ± 0.34,254.552,16.09512255312149,339.43,19.52831277914198,0.8681599999999999,0.015176725602052667,"121,515",177.9
Full_CAEG_Net,251.44 ± 9.74,334.32 ± 11.09,0.8723 ± 0.0086,4.71 ± 0.21,251.436,9.744220338231273,334.31800000000004,11.09216029455038,0.87234,0.00856200911001618,"121,531",230.7
