seed,mean_w_lstm,mean_w_tcn,mean_w_cnn,min_w_lstm,max_w_lstm,min_w_tcn,max_w_tcn,min_w_cnn,max_w_cnn,mean_entropy,effective_n_experts
42,0.5012374520301819,0.18828484416007996,0.31047773361206055,0.39363378286361694,0.5346203446388245,0.15923723578453064,0.3405095934867859,0.25090327858924866,0.3229783773422241,1.021020531654358,2.776749610900879
123,0.44119158387184143,0.19256727397441864,0.36624112725257874,0.4189791679382324,0.45085325837135315,0.18694263696670532,0.2955669164657593,0.2606191635131836,0.3747801184654236,1.0454624891281128,2.844761610031128
999,0.44402897357940674,0.1751067042350769,0.38086429238319397,0.4102511405944824,0.4577989876270294,0.16386187076568604,0.27244073152542114,0.2917599380016327,0.38989630341529846,1.0325483083724976,2.8083314895629883
2024,0.42465656995773315,0.2261953353881836,0.34914809465408325,0.3991210162639618,0.4450452923774719,0.21841558814048767,0.36748379468917847,0.22867603600025177,0.35709214210510254,1.0666099786758423,2.9055285453796387
3407,0.5371610522270203,0.1696460247039795,0.29319295287132263,0.4795718789100647,0.5634494423866272,0.1558169722557068,0.27105453610420227,0.23520539700984955,0.3178606331348419,0.9930159449577332,2.699824094772339
