task_id,duration_hours,n_days,Official_Benchmark_MAE,Naive-24_MAE,Seasonal_Naive-168_MAE,Ridge_Regression_MAE,Standalone_LSTM_MAE,Standalone_TCN_MAE,Standalone_CNN_MAE,Original_CAEGNet_V1_MAE,Static_Equal_Ensemble_MAE
1,744,31,14.340993881225586,8.73897933959961,18.09771728515625,7.906101703643799,9.167134284973145,7.7765116691589355,8.524264335632324,7.663127422332764,7.968043804168701
2,720,30,16.433887481689453,14.81180477142334,17.87444496154785,9.017169952392578,9.909826278686523,9.265593528747559,9.758065223693848,8.59691047668457,9.253863334655762
3,744,31,49.58964920043945,25.294755935668945,38.16357421875,16.535259246826172,17.817859649658203,17.797931671142578,22.958742141723633,19.408414840698242,18.37568473815918
4,744,31,37.513710021972656,25.407398223876953,44.27190399169922,16.017274856567383,16.970535278320312,16.28577423095703,18.385339736938477,15.715690612792969,16.553367614746094
5,672,28,45.54330062866211,27.11338996887207,30.264434814453125,16.97318458557129,18.201478958129883,17.379535675048828,17.599519729614258,16.571069717407227,17.130474090576172
6,744,31,26.376880645751953,21.91653060913086,29.853897094726562,14.724621772766113,16.061166763305664,13.650425910949707,15.284014701843262,13.866230010986328,14.701912879943848
7,720,30,16.68694496154785,10.15319538116455,20.86055564880371,8.901057243347168,9.66819953918457,9.222674369812012,10.27021598815918,9.599069595336914,9.380051612854004
8,744,31,21.839515686035156,9.24932861328125,20.60564613342285,8.954621315002441,8.636626243591309,8.638012886047363,9.010920524597168,8.38427734375,8.456390380859375
9,720,30,33.985416412353516,16.870140075683594,23.92763900756836,12.92912769317627,13.25977897644043,12.991793632507324,13.39389705657959,12.493504524230957,12.602560043334961
10,744,31,26.790998458862305,17.469623565673828,25.71841049194336,13.50413990020752,15.089909553527832,13.116686820983887,14.045421600341797,13.267409324645996,13.748817443847656
11,744,31,34.69126510620117,19.390995025634766,33.645835876464844,12.758665084838867,15.625250816345215,14.189130783081055,15.509657859802246,14.612424850463867,14.39753532409668
12,720,30,27.644306182861328,10.57791805267334,31.989444732666016,9.637338638305664,9.877711296081543,10.20120906829834,11.728285789489746,10.654788970947266,10.022965431213379
13,744,31,12.843145370483398,7.750000476837158,15.498791694641113,7.502652645111084,8.393573760986328,7.44295072555542,8.259815216064453,7.0359039306640625,7.479613304138184
14,720,30,21.929445266723633,15.98166561126709,16.822084426879883,10.335527420043945,11.000283241271973,10.514250755310059,10.744443893432617,9.654081344604492,10.314494132995605
15,744,30,68.26222229003906,19.988473892211914,26.03708267211914,12.425268173217773,12.578692436218262,11.472477912902832,13.149805068969727,11.124545097351074,12.053940773010254
