model,category,val_mae_mw,val_rmse_mw,val_r2,params,runtime_s
Persistence_Naive24,Baseline,416.4666821785897,537.5831962683831,0.7929062972589883,0,0.0
Standalone_LSTM,Expert,541.9646464077116,703.6101940178922,0.6452358154817956,56152,77.14132261276245
Standalone_TCN,Expert,453.09116468473786,583.4783048653879,0.7560364478923121,36952,55.128382205963135
Standalone_CNN,Expert,728.956757425095,945.4905156230292,0.3593956603623699,27400,19.521841526031494
Static_Equal_Ensemble,Ensemble,524.4730990771963,681.1187586084617,0.6675539283092953,120504,0.0
Standard_Input_MoE,MoE,445.2047267797864,574.4910223297932,0.7634940803133294,126011,57.22459149360657
Original_CAEGNet_V1,CAEG_V1,397.97463627637876,509.00514908104594,0.8143393467166997,121531,29.688627243041992
