model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mape_mean,mape_std
Original_CAEGNet_V1,247.86830129726596,4.393090314640285,331.4334652559554,3.14328479109575,0.8746177860885493,0.002383516838499691,4.609724242720418,0.10904378385211955
Standalone_TCN,254.51610857075724,1.8423696420155542,344.6440207556024,6.4260749903336,0.8643954574208091,0.005064236401873565,4.678131642428839,0.0350131179766399
CAEGNet_Phase5_Candidate,272.6511446575969,15.955956624771499,366.2236525709037,17.870473082328573,0.8466332392889051,0.014911086170373735,5.008958394410212,0.3164125120652626
Standalone_LSTM,292.65595111011663,19.60471507462067,404.35199203937805,26.58712898487215,0.8127461957713299,0.02480373295070227,5.403208907948605,0.38142221871145415
Static_Equal_Ensemble,300.8789602241339,55.024914016864905,406.4600620890198,53.114857855074284,0.8088648696612971,0.05274453383709155,5.636440428787195,1.1832144104229174
Standalone_CNN,502.26593067576016,164.66625432980086,656.5830600151698,176.52372227072053,0.4795186085100502,0.2999839637146761,9.683279124359299,3.5352969817073774
